Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.Unknown,D,0.008.0.0082
Recessive.Recessive,D,0.0036.0.0097
Unknown.None,C,0.0.0057
Unknown.Unknown,C,0.001.0.1819
Unknown.Unknown,C,0.0006.0.0037
Unknown.Unknown,D,0.0019.0.0029
None.Unknown,D,0.0.0105
Unknown.Unknown,C,0.0016.0.0042
None.None,C,0.0024.0.0032
Unknown.Unknown,D,0.0.0266
Unknown.Unknown,C,0.0.003
Unknown.Dominant,D,0.0031.0.0075
Unknown.Unknown,C,0.0025.0.0034
Recessive.Unknown,D,0.0011.0.0012
Unknown.Recessive,D,0.0019.0.0087
Unknown.Both,D,0.0029.0.0177
Unknown.Recessive,D,0.0007.0.0015
Unknown.Unknown,D,0.0036.0.0094
Unknown.Unknown,D,0.0034.0.0075
Unknown.Unknown,C,0.0.0049
Unknown.Unknown,D,0.0.002
Unknown.Unknown,C,0.0.0008
Unknown.Unknown,C,0.0006.0.0392
Dominant.None,C,0.0.012
Dominant.Unknown,C,0.0012.0.0029
Both.Unknown,C,0.0005.0.0153
Dominant.Dominant,D,0.0002.0.0003
Dominant.Unknown,D,0.0013.0.0016
None.Unknown,D,0.0.0091
Unknown.Unknown,D,0.002.0.0034
Dominant.Unknown,D,0.0008.0.0016
Unknown.Unknown,C,0.0.1819
Unknown.None,D,0.0.0066
Dominant.Unknown,C,0.0.0082
Unknown.None,NA,0.0009.0.128
Unknown.None,NA,0.0006.0.0021
Unknown.Unknown,D,0.002.0.0021
Both.Dominant,C,0.0023.0.0033
Dominant.Dominant,D,0.0.0273
None.None,C,0.0013.0.0037
Unknown.Unknown,C,0.0097.0.0277
Unknown.Unknown,D,0.0006.0.0019
Unknown.Recessive,C,0.003.0.0441
Unknown.Unknown,C,0.0205.0.0217
Dominant.Recessive,C,0.0.0226
Unknown.None,NA,0.0063.0.0308
Recessive.Unknown,NA,0.0008.0.0026
Dominant.Recessive,C,0.0013.0.0209
Dominant.Recessive,D,0.0058.0.0064
Recessive.Recessive,C,0.0023.0.024
Unknown.None,D,0.0009.0.0034
Unknown.Unknown,NA,0.0013.0.0015
Unknown.Unknown,C,0.0.0046
None.Recessive,D,0.0018.0.0052
Unknown.None,C,0.0044.0.0064
Unknown.None,NA,0.0063.0.0279
Unknown.Unknown,C,0.0009.0.0234
Unknown.Dominant,D,0.0004.0.0009
Recessive.Unknown,D,0.0006.0.0017
Unknown.Unknown,D,0.0.002
Unknown.Unknown,C,0.0023.0.0035
None.None,C,0.0017.0.0021
Unknown.Unknown,C,0.0.0025
Both.Dominant,C,0.0181.0.0243
Both.Recessive,C,0.0.0049
Unknown.Unknown,C,0.0.0026
Unknown.Recessive,D,0.0008.0.001
Unknown.None,NA,0.0063.0.0279
Unknown.Unknown,D,0.0062.0.0098
Unknown.Recessive,C,0.0.0022
Recessive.Unknown,C,0.0006.0.001
Recessive.Unknown,D,0.0037.0.0082
Unknown.Unknown,D,0.0.1068
Unknown.Unknown,C,0.0.0032
Unknown.Both,D,0.0004.0.0015
Unknown.Unknown,C,0.0011.0.0083
Unknown.Unknown,C,0.0021.0.0024
None.Unknown,D,0.0.0019
Dominant.None,C,0.0008.0.0025
Unknown.Unknown,C,0.0.0015
Unknown.Unknown,C,0.0048.0.0082
Unknown.Unknown,C,0.0.002
Dominant.None,C,0.0028.0.0051
Both.Unknown,C,0.0038.0.0055
Both.Unknown,C,0.004.0.027
Unknown.Unknown,D,0.001.0.0033
Both.Dominant,C,0.0016.0.0017
Unknown.Unknown,D,0.0053.0.0116
Unknown.Unknown,D,0.0024.0.0191
None.Unknown,C,0.0049.0.0053
Dominant.Dominant,C,0.0008.0.0202
Unknown.Both,D,0.0.0028
Unknown.Unknown,C,0.0018.0.0126
Unknown.Unknown,D,0.0023.0.0102
Recessive.Unknown,C,0.0.0024
Unknown.Unknown,D,0.0014.0.0028
Dominant.Unknown,C,0.0.0012
Dominant.Unknown,D,0.0006.0.0015
Unknown.Unknown,C,0.0023.0.0061
Unknown.None,NA,0.0063.0.0306
Unknown.Unknown,C,0.0.0025
None.Unknown,C,0.0.0019
None.Dominant,D,0.0.003
Unknown.Unknown,D,0.0006.0.0017
Recessive.Unknown,C,0.0008.0.0014
Unknown.Unknown,NA,0.0021.0.0048
Unknown.Unknown,C,0.004.0.0054
Unknown.Unknown,C,0.0009.0.0026
Unknown.NA,NA,0.0023.0.0375
Unknown.Unknown,C,0.0008.0.0246
Unknown.Recessive,D,0.0013.0.0022
Unknown.Unknown,C,0.0007.0.0041
None.Unknown,C,0.004.0.0159
Unknown.Dominant,D,0.0044.0.0927
Recessive.None,C,0.0049.0.0188
Unknown.Unknown,C,0.0009.0.0159
Unknown.Recessive,C,0.0.0009
Unknown.Recessive,C,0.0.0105
None.None,C,0.0018.0.0052
Both.Both,D,0.002.0.0054
Unknown.None,C,0.0014.0.0092
Unknown.Unknown,D,0.0013.0.0022
Dominant.None,C,0.0185.0.0433
Dominant.Unknown,D,0.001.0.0082
Unknown.Recessive,C,0.0005.0.0006
Unknown.Recessive,C,0.0057.0.0105
None.Unknown,C,0.0053.0.3292
Dominant.Unknown,C,0.0039.0.0558
Unknown.None,C,0.0.0223
Dominant.Unknown,C,0.0.001
Dominant.Unknown,C,0.0009.0.0015
Unknown.Recessive,C,0.0014.0.0029
Dominant.Recessive,D,0.0004.0.0096
Both.Unknown,C,0.001.0.0031
Unknown.Recessive,C,0.002.0.0026
Dominant.Unknown,C,0.0.0027
Dominant.Unknown,C,0.002.0.0056
Unknown.Dominant,D,0.0.0161
Unknown.Unknown,C,0.0012.0.0116
Unknown.Unknown,NA,0.0.0013
Both.Both,C,0.0181.0.0916
Unknown.None,C,0.0023.0.0092
None.Unknown,C,0.0064.0.0085
Both.Dominant,D,0.0005.0.0006
Dominant.Unknown,C,0.0.0272
Unknown.Unknown,D,0.0.001
Dominant.Recessive,C,0.0021.0.0025
Unknown.Unknown,D,0.0.0025
Unknown.Unknown,C,0.0.0019
Dominant.Unknown,D,0.0.0014
Recessive.Both,C,0.0023.0.0145
Unknown.Unknown,C,0.0175.0.1051
Unknown.None,D,0.0.0021
Unknown.Unknown,C,0.0018.0.0204
None.Both,C,0.0012.0.0061
Unknown.Unknown,C,0.0.0592
Unknown.Unknown,C,0.0005.0.0047
None.Unknown,D,0.0025.0.0041
Dominant.Unknown,C,0.0.0022
Unknown.Unknown,C,0.0014.0.0072
Recessive.Recessive,D,0.0.0003
Unknown.None,NA,0.0002.0.0102
Unknown.Recessive,C,0.0018.0.0522
None.None,C,0.0027.0.0071
Unknown.Unknown,C,0.0.0051
Unknown.Unknown,C,0.0047.0.0135
Unknown.Unknown,C,0.0012.0.0042
None.Dominant,C,0.0.0006
Unknown.Unknown,C,0.0.0018
Dominant.Dominant,D,0.0.0004
Unknown.Unknown,C,0.0822.0.0992
None.Unknown,D,0.0016.0.0019
Unknown.None,D,0.0012.0.0216
Unknown.Unknown,C,0.0023.0.0068
Dominant.Unknown,C,0.0.0271
Recessive.Unknown,C,0.0006.0.0134
Unknown.Unknown,D,0.0094.0.011
None.Recessive,C,0.0025.0.0536
Unknown.Unknown,C,0.0006.0.0073
Unknown.Recessive,C,0.0008.0.0048
Both.Dominant,D,0.0.0596
Dominant.Unknown,C,0.0.0114
Unknown.Unknown,C,0.0.0011
Unknown.Unknown,D,0.0062.0.007
Unknown.Unknown,D,0.0041.0.1398
None.Unknown,D,0.0.004
Unknown.Unknown,C,0.0.0233
Dominant.Unknown,C,0.0009.0.0085
Unknown.Recessive,C,0.0.0013
Dominant.Dominant,NA,0.001.0.0101
Unknown.Recessive,D,0.0023.0.003
Dominant.Dominant,D,0.0043.0.0069
Unknown.Unknown,C,0.0.0015
Unknown.Unknown,C,0.0015.0.0092
Unknown.None,C,0.0.0102
Unknown.Unknown,C,0.0018.0.0335
Unknown.Unknown,D,0.0132.0.0264
Unknown.Unknown,D,0.0.0048
Unknown.Unknown,C,0.0012.0.0111
Recessive.Unknown,D,0.0039.0.0206
Both.Unknown,D,0.0025.0.0043
Unknown.Unknown,C,0.0012.0.004
Unknown.None,D,0.0.0715
Recessive.Recessive,C,0.0027.0.0086
Both.Dominant,C,0.0034.0.0057
Unknown.Both,D,0.0031.0.0032
Dominant.Unknown,C,0.0005.0.002
Unknown.Unknown,C,0.0007.0.002
Dominant.Unknown,D,0.0018.0.03
Unknown.Unknown,D,0.001.0.0038
Unknown.Unknown,C,0.0087.0.1982
Unknown.Both,D,0.0062.0.07
None.Dominant,D,0.0.0067
Unknown.Unknown,C,0.0018.0.0027
Dominant.None,NA,0.0456.0.128
None.None,D,0.0.0161
None.Unknown,C,0.0.0008
Unknown.Unknown,C,0.0.0041
Unknown.Unknown,C,0.0018.0.0404
Unknown.Unknown,D,0.0015.0.0026
Dominant.None,NA,0.0.0038
Unknown.Unknown,C,0.003.0.0065
None.Recessive,D,0.0007.0.0061
Unknown.Both,C,0.0011.0.0102
Recessive.None,C,0.0.008
Unknown.Unknown,C,0.0.0034
Unknown.None,NA,0.0025.0.0067
Recessive.None,C,0.0031.0.0049
Recessive.Unknown,C,0.0.0021
Unknown.Unknown,C,0.0007.0.0009
Unknown.Unknown,D,0.0026.0.0054
Dominant.Unknown,D,0.0017.0.0136
Unknown.Unknown,D,0.0008.0.0024
Dominant.Unknown,C,0.0009.0.0016
Unknown.Unknown,C,0.0011.0.0039
Unknown.Recessive,C,0.0006.0.001
Unknown.Unknown,D,0.0038.0.0043
Unknown.Recessive,C,0.0006.0.0036
Dominant.Unknown,C,0.0011.0.0012
Dominant.Unknown,C,0.0006.0.0026
Unknown.Dominant,C,0.0005.0.0017
Both.Unknown,D,0.0049.0.0099
Dominant.Unknown,C,0.0008.0.0025
Unknown.Dominant,C,0.0.0309
Unknown.Unknown,D,0.002.0.0023
Unknown.Unknown,C,0.0024.0.003
Unknown.Dominant,D,0.0028.0.0175
Unknown.Unknown,C,0.0007.0.0012
Both.Both,C,0.0009.0.001
Unknown.Unknown,D,0.0019.0.0472
Unknown.Recessive,C,0.0.0522
Unknown.None,C,0.0056.0.0064
Both.Recessive,C,0.0022.0.0068
Unknown.Unknown,C,0.0014.0.0155
Unknown.Unknown,C,0.0.0039
None.Unknown,D,0.0562.0.0656
Unknown.Unknown,D,0.0.0008
Dominant.Unknown,D,0.0007.0.0008
Unknown.Unknown,C,0.0.0057
Unknown.Unknown,C,0.0021.0.0109
None.Unknown,C,0.0006.0.0081
Dominant.Both,C,0.001.0.0037
Unknown.Unknown,C,0.0.0016
Unknown.Unknown,C,0.0019.0.0036
Unknown.Unknown,C,0.0014.0.0184
Unknown.Dominant,D,0.0016.0.0196
Unknown.Unknown,D,0.0.0018
Unknown.Dominant,C,0.001.0.0179
Unknown.None,C,0.0.0013
Unknown.Unknown,C,0.0015.0.0033
Unknown.Unknown,C,0.0022.0.0029
Recessive.Recessive,D,0.0028.0.0633
Unknown.Unknown,D,0.0012.0.0025
Recessive.Unknown,C,0.001.0.0052
None.None,C,0.0005.0.0017
Unknown.Unknown,C,0.0009.0.0013
Unknown.Unknown,D,0.0035.0.0223
Recessive.Unknown,C,0.0019.0.0072
Unknown.Unknown,NA,0.0012.0.0245
Recessive.Recessive,C,0.0.0031
Unknown.None,NA,0.0063.0.0259
Unknown.Unknown,D,0.0013.0.0169
Unknown.Dominant,D,0.0.0068
Unknown.None,C,0.0.001
Unknown.None,C,0.0.0161
Unknown.Recessive,C,0.001.0.0024
Recessive.Recessive,D,0.0017.0.0019
Unknown.Unknown,C,0.0012.0.0091
Unknown.Recessive,C,0.0017.0.0026
Unknown.Recessive,D,0.0033.0.0068
None.None,D,0.0025.0.0033
Unknown.Unknown,D,0.0.0011
Unknown.Recessive,D,0.0071.0.0374
Unknown.Unknown,C,0.0.0048
Unknown.Unknown,C,0.0.0098
None.None,D,0.0026.0.0091
Unknown.Unknown,C,0.0.0024
Dominant.Unknown,D,0.0033.0.006
Unknown.Unknown,D,0.007.0.0449
Unknown.Unknown,C,0.0007.0.0054
None.Unknown,D,0.0014.0.0021
Recessive.Dominant,C,0.0027.0.0191
Recessive.Unknown,C,0.0025.0.0289
Unknown.Recessive,D,0.0.0051
Unknown.Recessive,C,0.0.0034
Unknown.Unknown,C,0.0013.0.0103
Unknown.Recessive,D,0.0.0026
Unknown.Dominant,C,0.0.0762
Unknown.Unknown,C,0.0018.0.1982
Unknown.Unknown,C,0.0007.0.0019
Unknown.Unknown,D,0.0071.0.011
Unknown.Unknown,D,0.0016.0.0022
Both.Recessive,D,0.0023.0.0106
None.Dominant,D,0.0.005
Unknown.Unknown,C,0.0015.0.0066
Dominant.Unknown,C,0.0044.0.0274
Unknown.None,C,0.0016.0.0026
Unknown.Unknown,C,0.0029.0.0055
None.Unknown,C,0.0053.0.3292
None.None,C,0.0.0012
Unknown.Recessive,C,0.0018.0.0086
Unknown.Unknown,D,0.0.0007
Unknown.Unknown,C,0.0019.0.0043
Dominant.Unknown,D,0.0022.0.0406
Recessive.Dominant,D,0.0226.0.0372
Dominant.Unknown,D,0.0.013
Recessive.Unknown,D,0.0015.0.0242
Unknown.Unknown,D,0.0034.0.0136
Unknown.Unknown,NA,0.0011.0.0014
Unknown.Unknown,C,0.0043.0.0045
Recessive.Recessive,C,0.0045.0.0089
Unknown.Recessive,D,0.0015.0.0022
Unknown.Recessive,C,0.0008.0.0015
Unknown.Unknown,C,0.0011.0.0226
None.Unknown,NA,0.0021.0.0023
Unknown.None,C,0.0.0181
Dominant.None,C,0.0003.0.0084
Unknown.Unknown,C,0.0.0022
Unknown.Unknown,D,0.0.0077
Recessive.Unknown,C,0.0014.0.004
Recessive.Recessive,C,0.0032.0.0038
Unknown.None,NA,0.0063.0.0287
Unknown.Unknown,C,0.0.0208
Both.Unknown,D,0.0.0373
Unknown.Dominant,C,0.0008.0.001
Unknown.Unknown,C,0.0.0039
Unknown.Unknown,C,0.0006.0.0083
Unknown.Unknown,NA,0.003.0.0031
Dominant.Unknown,D,0.0014.0.0049
Unknown.None,C,0.0.0016
Unknown.Unknown,NA,0.0064.0.0096
Unknown.Unknown,NA,0.001.0.0023
Unknown.Unknown,C,0.0018.0.0135
Recessive.Recessive,D,0.0018.0.0173
Dominant.Unknown,D,0.0.001
Unknown.Unknown,C,0.0016.0.0021
Unknown.None,D,0.0.003
None.Unknown,D,0.0.0014
Unknown.None,C,0.0.0187
Dominant.Dominant,NA,0.0.0101
Unknown.Unknown,C,0.0005.0.0015
Recessive.Recessive,D,0.0005.0.0016
Dominant.Recessive,C,0.0.0017
Both.Dominant,D,0.0029.0.0045
Dominant.Unknown,C,0.0096.0.0109
Unknown.Unknown,C,0.002.0.0024
Unknown.Unknown,C,0.0.0008
Unknown.Unknown,NA,0.0.0011
Unknown.Unknown,D,0.0022.0.0348
Unknown.Unknown,C,0.0045.0.0186
Unknown.Dominant,D,0.002.0.0074
None.Unknown,C,0.0.0013
Unknown.Unknown,C,0.0048.0.0273
None.Unknown,C,0.002.0.0167
Unknown.Unknown,D,0.0018.0.0056
Unknown.Unknown,C,0.0015.0.0041
Unknown.Unknown,C,0.0022.0.0026
None.Recessive,D,0.0029.0.0055
None.None,C,0.0005.0.0023
Unknown.Unknown,C,0.0014.0.0071
Unknown.Unknown,C,0.0036.0.0071
Unknown.None,C,0.0041.0.0064
Unknown.Unknown,C,0.0138.0.0392
Recessive.None,C,0.0025.0.0035
Dominant.Unknown,C,0.0.0013
Unknown.Recessive,D,0.0006.0.001
Recessive.Unknown,C,0.0009.0.0018
Unknown.Unknown,C,0.0017.0.003
None.Unknown,C,0.0.0177
Unknown.Unknown,D,0.0021.0.0035
Unknown.Unknown,C,0.0015.0.0073
Unknown.None,C,0.0023.0.0027
Unknown.Recessive,D,0.0043.0.1087
Unknown.Unknown,D,0.0.0029
Unknown.Unknown,C,0.001.0.0012
None.Both,C,0.0039.0.0076
Unknown.Unknown,C,0.001.0.0316
Dominant.Recessive,C,0.0.0029
Unknown.Dominant,C,0.0031.0.0051
Unknown.Unknown,C,0.011.0.0264
Unknown.Unknown,D,0.0135.0.0136
Unknown.Unknown,C,0.0022.0.0035
Unknown.None,D,0.0.0021
Unknown.Both,C,0.0011.0.0015
Recessive.Unknown,C,0.0007.0.003
Unknown.Unknown,D,0.0.0017
Unknown.Unknown,C,0.0016.0.0027
Dominant.Recessive,C,0.0003.0.0033
Dominant.Recessive,D,0.0022.0.0023
Unknown.Dominant,D,0.0005.0.0016
Unknown.Recessive,C,0.0.0029
Unknown.Unknown,D,0.004.0.0044
Unknown.Unknown,NA,0.0.0034
Recessive.None,D,0.0009.0.0031
Recessive.Recessive,D,0.0012.0.0021
Recessive.Unknown,C,0.002.0.042
Dominant.Dominant,C,0.0.0175
Recessive.Unknown,C,0.0115.0.0204
None.None,D,0.0009.0.001
Unknown.Unknown,C,0.0035.0.0094
Unknown.Unknown,C,0.0.0011
Dominant.Dominant,D,0.0025.0.0043
Unknown.Unknown,NA,0.0125.0.035
Recessive.Unknown,C,0.0008.0.0017
Unknown.Unknown,D,0.0004.0.026
Unknown.None,NA,0.0.0027
Unknown.Unknown,C,0.0.0329
Unknown.Unknown,D,0.0006.0.0032
None.None,C,0.0013.0.0027
Dominant.Unknown,C,0.0038.0.0781
Unknown.Dominant,D,0.0049.0.0179
Unknown.Unknown,C,0.0005.0.0083
Unknown.Unknown,D,0.0009.0.0089
Recessive.Unknown,C,0.0.0112
Recessive.Unknown,C,0.0006.0.0073
Unknown.Unknown,C,0.0022.0.0226
Unknown.Unknown,D,0.002.0.0025
Dominant.Both,C,0.0016.0.0077
Unknown.None,C,0.0018.0.0147
Recessive.Recessive,D,0.0011.0.0062
Unknown.Unknown,C,0.0025.0.011
Recessive.Unknown,C,0.001.0.0075
Unknown.Unknown,C,0.0025.0.0074
Unknown.Unknown,NA,0.0014.0.002
Both.Unknown,C,0.0049.0.0088
Unknown.Recessive,D,0.0014.0.0052
Unknown.Recessive,C,0.0019.0.0105
Dominant.Dominant,C,0.0043.0.0464
Unknown.None,D,0.018.0.2229
Unknown.Unknown,C,0.0.0017
Unknown.Unknown,C,0.0053.0.0075
None.Unknown,D,0.0029.0.0047
Dominant.Unknown,C,0.0.0027
Both.None,NA,0.0.0048
Unknown.Unknown,D,0.0.0164
Unknown.Unknown,D,0.0.0116
Dominant.Unknown,C,0.0.003
Unknown.Dominant,D,0.0.0022
Dominant.Dominant,D,0.0023.0.0035
Dominant.Recessive,D,0.0.0009
Unknown.Unknown,NA,0.0008.0.0022
Recessive.Unknown,C,0.0.0339
Unknown.Unknown,C,0.0026.0.1073
Unknown.Unknown,C,0.0008.0.0009
Unknown.None,C,0.0.0026
Both.Both,C,0.0009.0.003
Unknown.Unknown,D,0.0016.0.0056
Recessive.Unknown,C,0.0.0014
Recessive.None,C,0.0.0029
Unknown.Unknown,C,0.0016.0.003
Unknown.Unknown,NA,0.0033.0.0041
Dominant.None,C,0.0.0022
Unknown.None,C,0.0.0023
Unknown.Dominant,C,0.0009.0.0179
Unknown.None,D,0.001.0.0136
Recessive.None,C,0.0025.0.0033
None.None,C,0.0005.0.0013
Dominant.Unknown,C,0.0009.0.0014
Recessive.None,NA,0.0111.0.018
Unknown.Unknown,NA,0.0.001
Unknown.Unknown,C,0.0011.0.0014
Unknown.Unknown,C,0.0046.0.0787
Dominant.Both,C,0.002.0.0061
Unknown.Unknown,D,0.0.0036
Unknown.Unknown,C,0.001.0.0022
Unknown.Unknown,C,0.0017.0.0092
Recessive.Unknown,C,0.0026.0.037
Unknown.None,C,0.0034.0.0092
Unknown.None,NA,0.0063.0.0508
Unknown.None,C,0.0.0012
Unknown.Unknown,C,0.0003.0.0143
Unknown.Unknown,D,0.0.0011
None.Unknown,D,0.0036.0.0039
Unknown.Dominant,C,0.0015.0.1268
Unknown.Unknown,C,0.0059.0.011
None.Unknown,C,0.0035.0.0062
Unknown.Unknown,D,0.0.0523
Unknown.Unknown,D,0.0085.0.0849
None.None,D,0.0001.0.0047
Unknown.None,C,0.0056.0.0057
Unknown.None,C,0.0016.0.0029
Recessive.Both,C,0.0039.0.0057
Unknown.Unknown,D,0.0043.0.0256
Unknown.Unknown,C,0.0005.0.0135
Unknown.Unknown,C,0.0014.0.0102
None.None,C,0.0.0027
Unknown.Unknown,D,0.0.003
Unknown.Unknown,C,0.0025.0.044
Unknown.Unknown,C,0.001.0.004
Unknown.Unknown,D,0.0.0061
Unknown.Unknown,C,0.0011.0.0012
Unknown.Recessive,C,0.0.0038
Both.None,NA,0.0007.0.0012
Unknown.Unknown,C,0.0086.0.0691
None.None,C,0.0.0025
Recessive.Unknown,C,0.0026.0.0047
Dominant.Unknown,D,0.0.0008
Unknown.Unknown,C,0.0058.0.0094
Unknown.Unknown,C,0.0.0024
Unknown.Unknown,C,0.0025.0.0078
Unknown.Unknown,D,0.0.0029
Dominant.Unknown,C,0.0004.0.002
Unknown.Dominant,C,0.0.0065
Unknown.Unknown,D,0.0012.0.0023
Dominant.Dominant,C,0.0.001
Unknown.Unknown,C,0.001.0.0075
Recessive.Recessive,C,0.0003.0.0049
Recessive.Unknown,C,0.0014.0.0304
Unknown.Unknown,D,0.0031.0.0067
None.Unknown,NA,0.0013.0.0021
None.None,D,0.0011.0.0049
Recessive.Unknown,C,0.0044.0.0204
Recessive.None,C,0.0.0092
Unknown.Unknown,C,0.001.0.0033
Dominant.Unknown,C,0.0.0039
Unknown.Unknown,C,0.0007.0.0341
Dominant.Dominant,D,0.0006.0.0009
Unknown.Unknown,C,0.0.0009
Unknown.Unknown,C,0.0009.0.0021
Dominant.Unknown,C,0.0009.0.004
None.Unknown,C,0.0045.0.0055
Unknown.Recessive,C,0.0.0039
Recessive.Unknown,D,0.0.0032
Dominant.Unknown,C,0.0.003
Unknown.Unknown,C,0.0006.0.0013
Unknown.None,NA,0.0063.0.0341
None.Dominant,D,0.0005.0.0026
Unknown.Unknown,C,0.0.0012
Unknown.None,D,0.0016.0.0059
Dominant.None,C,0.0018.0.0052
Unknown.Unknown,C,0.0013.0.0085
None.Unknown,D,0.0038.0.0063
None.Unknown,C,0.0008.0.0196
Unknown.Unknown,D,0.0029.0.0089
Unknown.Unknown,C,0.0018.0.0076
Unknown.Unknown,C,0.001.0.0038
Unknown.Unknown,C,0.0.0013
Recessive.Unknown,NA,0.0.0023
Unknown.Unknown,D,0.0.0514
Unknown.Unknown,D,0.0.0031
Dominant.None,NA,0.0025.0.0042
Dominant.Unknown,C,0.0.0063
Unknown.Unknown,C,0.0.0024
Dominant.Dominant,C,0.0037.0.0127
None.Unknown,D,0.0025.0.0151
Dominant.Dominant,D,0.0027.0.0075
Unknown.Recessive,C,0.0026.0.0063
Unknown.Unknown,C,0.0.022
Unknown.None,C,0.0.026
Unknown.Unknown,C,0.0004.0.001
