Disease_Association,Most_Haploinsufficient_gene,dNdS
Dominant.Dominant,D,0.0015.0.0025
Both.Both,C,0.0006.0.0012
Both.None,C,0.0012.0.0032
Dominant.Unknown,C,0.0012.0.0013
Unknown.Unknown,C,0.0005.0.0008
Unknown.Unknown,C,0.0013.0.0177
Unknown.Unknown,C,0.0027.0.0042
Unknown.Unknown,D,0.0015.0.0332
Unknown.Unknown,D,0.0044.0.0095
Unknown.None,C,0.0.0037
None.None,D,0.0.0468
Dominant.Unknown,C,0.0039.0.0395
None.None,C,0.0037.0.0468
Unknown.Unknown,C,0.0007.0.0011
Unknown.Recessive,D,0.0.0022
Unknown.Unknown,C,0.0.0015
Unknown.Unknown,D,0.0044.0.0061
Unknown.Unknown,C,0.0011.0.011
Unknown.Unknown,C,0.0.0126
None.Unknown,C,0.0053.0.0331
None.Unknown,C,0.0053.0.0307
None.None,C,0.0053.0.0331
None.None,C,0.0053.0.0307
Unknown.Recessive,D,0.0015.0.0054
Unknown.None,C,0.003.0.0039
Dominant.Unknown,C,0.0031.0.0073
Unknown.Unknown,C,0.0039.0.0736
Dominant.Unknown,C,0.0031.0.0059
Unknown.Recessive,C,0.0016.0.0055
Unknown.Unknown,D,0.0009.0.0014
Unknown.Unknown,C,0.0.0024
Unknown.Unknown,C,0.0.0493
Unknown.Unknown,D,0.0012.0.0741
Both.Recessive,C,0.0037.0.0073
Recessive.Unknown,D,0.0021.0.0049
Dominant.Unknown,D,0.0057.0.0511
Unknown.Unknown,D,0.0063.0.0082
Unknown.Both,C,0.0016.0.007
Unknown.None,C,0.0006.0.0204
Dominant.Unknown,C,0.0023.0.0229
Recessive.Dominant,D,0.0.0012
Unknown.Unknown,D,0.0016.0.0018
Recessive.Unknown,C,0.0.0057
Unknown.Unknown,C,0.0.0078
Unknown.Dominant,D,0.0023.0.0059
Both.Unknown,C,0.0009.0.0014
Both.Unknown,C,0.002.0.0025
Unknown.Unknown,C,0.0035.0.0095
Unknown.Unknown,C,0.0023.0.0025
None.Unknown,C,0.0.0012
Unknown.None,C,0.0049.0.0057
Unknown.Unknown,C,0.0063.0.0105
Unknown.Unknown,C,0.0012.0.0048
Unknown.None,D,0.005.0.007
Unknown.Dominant,C,0.0014.0.0047
Unknown.Dominant,D,0.0005.0.0016
Unknown.Unknown,D,0.0.0105
Unknown.Recessive,C,0.0013.0.0046
Dominant.None,D,0.0.0031
Unknown.Recessive,C,0.0043.0.0111
Unknown.Dominant,C,0.0.0246
Dominant.Recessive,C,0.0.0033
Unknown.Unknown,C,0.0.0027
Unknown.Unknown,C,0.0005.0.0034
Recessive.Recessive,D,0.0065.0.0115
Unknown.Unknown,C,0.0088.0.0161
Unknown.Recessive,C,0.0.0069
Unknown.Unknown,D,0.002.0.0164
None.None,C,0.0.002
Unknown.Unknown,D,0.0055.0.0091
Unknown.Unknown,C,0.0029.0.0039
Unknown.Unknown,D,0.0015.0.0038
Unknown.Unknown,C,0.003.0.0043
None.Unknown,D,0.0.0347
Unknown.Unknown,C,0.003.0.0944
Unknown.Unknown,C,0.0094.0.013
Unknown.Unknown,C,0.0016.0.0095
Unknown.None,D,0.0008.0.0017
Unknown.Unknown,D,0.0027.0.0029
Dominant.Unknown,D,0.0246.0.0272
Unknown.Unknown,C,0.0.0035
Dominant.Unknown,C,0.0106.0.0239
Recessive.Unknown,D,0.0024.0.0037
Unknown.Unknown,D,0.0019.0.0036
Recessive.None,C,0.0022.0.0033
Unknown.Unknown,D,0.0047.0.0097
Unknown.Recessive,C,0.002.0.006
None.Unknown,D,0.0.0047
Unknown.Unknown,C,0.0.003
Unknown.None,C,0.0004.0.0249
Both.Unknown,D,0.0.0912
Both.Unknown,NA,0.0.0043
Recessive.None,C,0.0036.0.0079
Unknown.Recessive,D,0.0028.0.0248
None.None,C,0.0035.0.0056
Unknown.Unknown,C,0.0.1283
Recessive.Dominant,C,0.0013.0.006
Unknown.Unknown,C,0.0058.0.0142
Unknown.Both,D,0.0.0278
Unknown.Unknown,C,0.0011.0.007
Unknown.Recessive,D,0.0.0226
Unknown.Unknown,D,0.0018.0.0021
Recessive.Unknown,C,0.001.0.0044
Unknown.Recessive,C,0.0016.0.0498
None.Unknown,D,0.0057.0.0099
Unknown.Unknown,C,0.004.0.0096
Unknown.Unknown,C,0.0007.0.0025
Recessive.Unknown,D,0.0443.0.0726
Unknown.Unknown,D,0.0035.0.0075
Recessive.Recessive,C,0.0011.0.0086
Unknown.Unknown,C,0.0046.0.0102
Unknown.Recessive,C,0.0.0026
Both.Dominant,C,0.0027.0.0076
Unknown.Unknown,C,0.0026.0.0027
Unknown.None,NA,0.0014.0.006
Unknown.Unknown,D,0.0.0082
Recessive.Recessive,C,0.0.0105
Unknown.None,D,0.0039.0.0042
Recessive.Unknown,D,0.0043.0.0094
Unknown.Unknown,S,0.0058.0.0075
Unknown.Unknown,C,0.0.0036
None.Recessive,C,0.0.0039
Unknown.Recessive,NA,0.0018.0.0033
None.Unknown,D,0.0075.0.0201
Unknown.Dominant,D,0.0036.0.0122
Both.Dominant,C,0.0007.0.0034
Unknown.Unknown,C,0.0016.0.0038
Unknown.None,NA,0.0.0542
Unknown.Unknown,D,0.0048.0.0051
Unknown.Unknown,C,0.0.004
None.Recessive,C,0.0013.0.0035
Unknown.Dominant,D,0.0036.0.0096
Unknown.Unknown,C,0.0027.0.0048
None.Unknown,D,0.0012.0.0018
Both.Unknown,C,0.0016.0.0143
Unknown.Unknown,C,0.0021.0.0337
Unknown.Unknown,C,0.0.038
Unknown.Unknown,C,0.0.003
Recessive.Dominant,C,0.0033.0.0191
Unknown.Unknown,C,0.0004.0.0021
Unknown.Unknown,D,0.0014.0.0015
Unknown.Unknown,D,0.0195.0.0465
Unknown.Unknown,D,0.0.0023
Unknown.Dominant,C,0.0006.0.0259
Dominant.Both,C,0.004.0.1721
Unknown.Unknown,D,0.0005.0.0028
Dominant.Unknown,C,0.0.0016
Unknown.Unknown,D,0.0018.0.0039
Unknown.Dominant,C,0.0021.0.0179
Unknown.Unknown,C,0.0.0007
Unknown.Unknown,C,0.0.007
Unknown.Unknown,C,0.0028.0.0212
Unknown.Unknown,D,0.0.007
Dominant.Dominant,C,0.0.0246
Unknown.Unknown,C,0.0.0058
Unknown.Unknown,D,0.0048.0.0109
Unknown.Unknown,C,0.0.0077
Unknown.Unknown,D,0.0028.0.0046
Both.Unknown,NA,0.0.0054
Unknown.Both,C,0.0017.0.1721
Recessive.Dominant,C,0.0011.0.0076
Dominant.Unknown,C,0.0.0015
Unknown.Unknown,C,0.0.0091
Unknown.Unknown,D,0.006.0.0253
Unknown.Unknown,D,0.0039.0.0451
Recessive.Dominant,C,0.0.0044
Unknown.None,C,0.0.0074
Unknown.Dominant,C,0.0016.0.003
Unknown.None,NA,0.0013.0.0055
Unknown.Unknown,C,0.0.0314
Unknown.None,C,0.0014.0.046
Unknown.Unknown,C,0.0.0043
Unknown.Unknown,D,0.0.0025
Unknown.None,NA,0.0058.0.0086
Unknown.Recessive,C,0.0086.0.1087
Unknown.Unknown,D,0.0011.0.0015
Unknown.Unknown,C,0.0.0044
Unknown.Unknown,D,0.0034.0.0053
Unknown.Unknown,D,0.0011.0.0069
Unknown.Unknown,D,0.0035.0.0109
Both.Both,NA,0.0.0916
Unknown.Unknown,D,0.001.0.0091
None.Unknown,C,0.0008.0.003
Unknown.Unknown,C,0.0.0093
Both.Recessive,C,0.0027.0.0086
Recessive.Unknown,C,0.0006.0.0294
Unknown.Unknown,C,0.0.0025
None.Recessive,C,0.0054.0.0305
Unknown.Unknown,C,0.0.0036
Unknown.Recessive,C,0.0027.0.0042
Unknown.Unknown,C,0.0.0017
None.None,D,0.0012.0.0021
Unknown.Unknown,C,0.0092.0.0095
None.None,C,0.0041.0.0064
Unknown.Unknown,C,0.0091.0.0622
Unknown.Unknown,C,0.0012.0.0524
Both.None,NA,0.0025.0.018
Unknown.Dominant,D,0.0.0025
None.Dominant,D,0.0008.0.0175
Unknown.Unknown,D,0.0.0015
None.None,D,0.0.002
Unknown.Recessive,C,0.0018.0.0046
Unknown.Unknown,C,0.0.0038
Dominant.Dominant,C,0.0.0336
Unknown.Unknown,C,0.0.0008
Unknown.None,C,0.0016.0.0037
Both.Recessive,NA,0.0.0008
Dominant.Unknown,C,0.0013.0.0015
None.Recessive,D,0.0056.0.0249
Unknown.Unknown,D,0.004.0.0136
Recessive.Unknown,C,0.0023.0.0055
Unknown.Unknown,C,0.0.002
Unknown.Unknown,C,0.0036.0.0153
Recessive.Unknown,C,0.0.0023
None.None,D,0.0.0019
Unknown.None,D,0.0.0032
Unknown.Unknown,D,0.0052.0.0063
Recessive.None,C,0.002.0.0481
Dominant.Dominant,C,0.0003.0.0191
None.Unknown,D,0.0154.0.1672
None.None,D,0.0041.0.0078
Unknown.Unknown,D,0.0045.0.0049
Recessive.Both,D,0.0013.0.002
Unknown.Unknown,D,0.0016.0.0017
Unknown.Unknown,C,0.0038.0.0068
Unknown.Unknown,C,0.0018.0.0082
Recessive.None,D,0.0115.0.0481
Unknown.None,C,0.0013.0.0074
None.Dominant,D,0.0094.0.0789
Unknown.Unknown,C,0.0.0731
Dominant.Dominant,C,0.0.0011
Unknown.None,C,0.003.0.0096
None.None,C,0.0019.0.0043
None.None,D,0.0.0013
Unknown.Unknown,C,0.0022.0.0035
Unknown.Unknown,C,0.0018.0.007
Unknown.Unknown,C,0.0.0018
Unknown.Unknown,C,0.0019.0.0027
Unknown.Unknown,C,0.0024.0.0045
None.Unknown,C,0.0025.0.0033
Dominant.None,C,0.0046.0.0823
Recessive.Dominant,D,0.0.0009
Both.Both,D,0.0007.0.0054
Recessive.None,C,0.0.0505
Unknown.Recessive,C,0.0.1113
None.None,C,0.0018.0.0144
Both.Unknown,D,0.0017.0.0086
Unknown.Unknown,D,0.0.0013
Unknown.Unknown,D,0.0027.0.0032
Unknown.Unknown,C,0.0012.0.0032
Unknown.Unknown,D,0.0.0026
None.Unknown,NA,0.0.0095
Unknown.Unknown,C,0.0051.0.0052
Unknown.Unknown,C,0.0009.0.0017
None.Unknown,D,0.0012.0.0034
Unknown.Recessive,NA,0.0027.0.0033
Unknown.None,C,0.0011.0.0032
None.Unknown,D,0.005.0.0055
None.Unknown,C,0.0045.0.0278
Recessive.Unknown,C,0.002.0.0021
Unknown.Unknown,D,0.0036.0.0109
Unknown.Unknown,D,0.0.0046
Unknown.Unknown,C,0.0057.0.0078
Unknown.None,C,0.0.0033
Unknown.Both,D,0.0.0042
Unknown.Both,C,0.0083.0.1721
None.Unknown,D,0.0029.0.0278
Unknown.Recessive,C,0.0.001
None.Unknown,D,0.0068.0.0514
Unknown.Dominant,D,0.0019.0.0122
Unknown.Unknown,C,0.0009.0.0053
Unknown.Unknown,C,0.0.0105
Unknown.Unknown,C,0.0064.0.0218
Unknown.Unknown,C,0.0011.0.0193
Unknown.Dominant,NA,0.0.0101
Unknown.None,NA,0.0.6393
Unknown.Unknown,C,0.0.0023
Unknown.Unknown,C,0.0012.0.0024
Recessive.Unknown,C,0.0119.0.0198
None.None,D,0.0008.0.0433
Unknown.None,C,0.0.0052
Both.None,C,0.0016.0.004
Unknown.None,C,0.0.0007
Unknown.Unknown,D,0.0011.0.0012
None.Unknown,C,0.0216.0.0358
Unknown.Unknown,C,0.002.0.0044
None.Unknown,C,0.0029.0.0036
Dominant.Unknown,C,0.0021.0.0024
None.Unknown,D,0.0038.0.0105
Unknown.Unknown,C,0.0.0017
Dominant.None,C,0.0067.0.046
Unknown.None,C,0.0016.0.006
Unknown.None,C,0.0.0042
Unknown.Unknown,C,0.0.0019
Dominant.Unknown,D,0.0.0014
Unknown.Unknown,C,0.0011.0.0096
Unknown.Unknown,D,0.0034.0.0064
Unknown.Unknown,C,0.0.0018
Unknown.None,C,0.0017.0.0036
Dominant.None,C,0.0037.0.0057
Both.None,C,0.0034.0.0089
Unknown.Unknown,D,0.0022.0.0031
Unknown.Unknown,C,0.0044.0.0045
Both.Unknown,C,0.0042.0.0077
Unknown.Both,C,0.003.0.0916
Unknown.Recessive,D,0.0.0346
Dominant.Unknown,D,0.0.0027
Unknown.Dominant,D,0.003.0.0369
Unknown.Unknown,C,0.0.0097
None.Unknown,D,0.0019.0.0736
Recessive.None,C,0.0021.0.0101
Unknown.Unknown,C,0.0014.0.0037
Unknown.Unknown,D,0.0013.0.0054
Unknown.Unknown,C,0.0.0692
None.Unknown,D,0.0012.0.0045
Unknown.Unknown,C,0.0057.0.011
Unknown.Unknown,C,0.0.0012
Dominant.Unknown,D,0.0.0022
Unknown.Unknown,D,0.0029.0.0031
Unknown.Unknown,C,0.001.0.0077
Unknown.None,NA,0.0012.0.0109
Dominant.Unknown,C,0.0013.0.0052
Unknown.Unknown,C,0.0014.0.0063
Unknown.Recessive,D,0.0054.0.0064
Recessive.Both,C,0.0.0029
Dominant.Dominant,C,0.0.0044
Unknown.Unknown,C,0.0011.0.0091
Recessive.Unknown,D,0.0.0328
Unknown.Unknown,C,0.0011.0.0012
Unknown.Recessive,D,0.0013.0.0323
Unknown.Unknown,C,0.0.0023
Dominant.Unknown,C,0.0021.0.0274
Unknown.Unknown,C,0.0019.0.0094
Recessive.Unknown,C,0.0013.0.0161
Unknown.Unknown,D,0.0007.0.0022
Unknown.Dominant,D,0.0028.0.0057
Unknown.Unknown,C,0.0012.0.0094
Unknown.Dominant,C,0.0.0031
Recessive.Unknown,C,0.0.0016
Unknown.Unknown,C,0.0049.0.0056
Recessive.Unknown,C,0.0.002
Recessive.Unknown,D,0.0065.0.0204
Dominant.Unknown,C,0.0003.0.0302
Unknown.Unknown,C,0.0009.0.0015
Both.Unknown,NA,0.0.0028
Unknown.Unknown,C,0.0016.0.0018
Unknown.Unknown,C,0.0053.0.0064
Recessive.Unknown,C,0.0.0015
None.Unknown,C,0.0008.0.0404
Both.Both,C,0.0003.0.0142
None.Unknown,C,0.0029.0.0084
Unknown.Both,C,0.0014.0.0109
Unknown.Unknown,C,0.0151.0.0316
Unknown.Unknown,D,0.0061.0.0093
Unknown.Unknown,C,0.002.0.0081
Unknown.Unknown,D,0.003.0.0095
None.Unknown,D,0.01.0.0346
Unknown.Dominant,C,0.0.0372
Unknown.Unknown,C,0.0.0011
Unknown.Recessive,D,0.0021.0.0036
Unknown.Unknown,C,0.0006.0.0275
Recessive.Recessive,D,0.0017.0.0086
Dominant.Recessive,C,0.007.0.0095
Unknown.None,NA,0.0014.0.0171
Recessive.Unknown,C,0.0009.0.0065
Unknown.Unknown,C,0.0069.0.0079
Unknown.Dominant,C,0.0084.0.0199
Unknown.Unknown,C,0.0011.0.0015
Dominant.Unknown,D,0.0013.0.367
Unknown.Unknown,C,0.0011.0.0031
Unknown.Both,C,0.0016.0.0084
Unknown.Dominant,C,0.0.001
None.Unknown,NA,0.0101.0.0622
None.Unknown,D,0.002.0.0052
Dominant.Unknown,C,0.0046.0.027
None.Recessive,D,0.0032.0.0036
Unknown.Dominant,C,0.0008.0.0044
Unknown.Recessive,C,0.0.007
Unknown.Unknown,C,0.0027.0.0562
Unknown.Dominant,D,0.0077.0.0372
None.None,NA,0.0012.0.011
Unknown.Unknown,D,0.0015.0.0018
Unknown.Unknown,C,0.0018.0.0084
Unknown.Unknown,D,0.0016.0.0027
Dominant.Unknown,C,0.0.0006
Unknown.Unknown,C,0.0.003
Unknown.Unknown,C,0.0.0012
None.None,D,0.0035.0.0059
Unknown.Unknown,C,0.0.001
Unknown.Unknown,C,0.0.0103
Dominant.Both,C,0.0005.0.0054
Dominant.Dominant,C,0.0.0372
Unknown.Unknown,D,0.001.0.0014
None.Unknown,C,0.0.0068
Unknown.Unknown,C,0.0.0046
Unknown.Unknown,D,0.0.0351
Unknown.Unknown,D,0.0024.0.0065
Unknown.Unknown,D,0.0022.0.0114
Dominant.Both,C,0.0007.0.0054
Dominant.None,C,0.0009.0.0052
Unknown.Unknown,D,0.0004.0.0029
None.None,D,0.0021.0.0022
None.Unknown,C,0.0.0012
Unknown.Unknown,D,0.0.0026
Unknown.Recessive,C,0.0027.0.0038
Unknown.Recessive,D,0.0013.0.0024
Both.Dominant,NA,0.0.0369
Dominant.Unknown,D,0.006.0.0393
None.None,C,0.008.0.0116
None.Unknown,C,0.0.003
None.Unknown,D,0.001.0.0021
Unknown.Unknown,D,0.0.0105
None.Recessive,D,0.0012.0.0019
None.Unknown,C,0.0013.0.0015
Both.Unknown,C,0.0034.0.0511
Both.Both,NA,0.0.0016
Dominant.Unknown,NA,0.0073.0.0092
None.Unknown,D,0.0.0026
Unknown.Unknown,D,0.0119.0.0121
Unknown.Unknown,C,0.002.0.005
Unknown.Dominant,D,0.0.0017
Unknown.Dominant,NA,0.001.0.0101
Unknown.Unknown,C,0.0.0039
Dominant.Unknown,D,0.0.0291
Dominant.Unknown,C,0.0021.0.009
Recessive.Recessive,D,0.0.0038
Dominant.Unknown,C,0.0012.0.0013
Unknown.Recessive,D,0.0011.0.0036
Unknown.None,C,0.0042.0.0051
Unknown.Unknown,C,0.0039.0.0071
None.Unknown,D,0.0096.0.0099
Unknown.Recessive,D,0.0065.0.0245
None.None,D,0.0009.0.0192
Dominant.Recessive,C,0.0.0033
None.None,NA,0.0007.0.0142
Unknown.Dominant,D,0.0.0372
Recessive.Both,D,0.0029.0.0031
Unknown.Unknown,C,0.0006.0.0638
Recessive.Both,C,0.0003.0.0028
Unknown.Both,D,0.003.0.0145
Both.Recessive,C,0.0029.0.0061
Unknown.Unknown,C,0.0013.0.0023
Unknown.Unknown,C,0.0032.0.0229
Unknown.Unknown,C,0.0.0184
Unknown.Recessive,D,0.0.0036
Unknown.Unknown,D,0.0008.0.0012
Unknown.Unknown,C,0.0013.0.0253
None.None,D,0.0112.0.0505
Unknown.Unknown,C,0.003.0.0054
Unknown.Unknown,C,0.0017.0.003
Unknown.Unknown,C,0.0.0023
Recessive.Unknown,C,0.0028.0.0278
None.Unknown,D,0.0028.0.0047
Unknown.Unknown,NA,0.0014.0.0028
Dominant.Dominant,C,0.0003.0.1307
Unknown.Unknown,C,0.0116.0.0215
Both.Unknown,C,0.0028.0.0033
Dominant.Both,D,0.001.0.0042
Dominant.Unknown,C,0.0.003
Unknown.Unknown,D,0.0017.0.0084
None.None,C,0.0019.0.0031
Unknown.Unknown,C,0.0018.0.0026
Unknown.Unknown,D,0.0019.0.0041
Unknown.Recessive,D,0.016.0.0248
Dominant.Dominant,C,0.0006.0.0007
Both.Unknown,C,0.002.0.0024
None.None,C,0.0091.0.0124
Unknown.None,C,0.0003.0.0025
Unknown.Recessive,C,0.0022.0.0066
Dominant.Both,C,0.0005.0.0054
Unknown.Unknown,C,0.0053.0.0218
Unknown.Dominant,D,0.0048.0.0096
Unknown.Unknown,C,0.0029.0.0036
Unknown.Unknown,C,0.0004.0.0021
Recessive.Unknown,D,0.0013.0.0081
Unknown.Unknown,C,0.0023.0.0075
Unknown.Both,D,0.0054.0.0271
Recessive.Dominant,C,0.0007.0.0031
Dominant.None,C,0.0185.0.027
None.Recessive,D,0.0066.0.0249
Dominant.Dominant,C,0.0042.0.0074
Dominant.Both,D,0.0.0011
Unknown.Dominant,C,0.0006.0.0017
Unknown.Recessive,C,0.0008.0.0037
Recessive.Unknown,D,0.0012.0.0574
Unknown.Unknown,C,0.0008.0.0023
Dominant.Dominant,C,0.0.0022
Unknown.Unknown,D,0.0.0106
Unknown.Unknown,D,0.0097.0.02
Unknown.Unknown,D,0.0007.0.0043
Unknown.Unknown,NA,0.0014.0.0025
Both.Unknown,C,0.0025.0.0351
Unknown.Unknown,C,0.0011.0.0155
Unknown.Unknown,C,0.0.0007
None.Both,D,0.0008.0.0016
Recessive.Unknown,C,0.0.0018
Unknown.Unknown,NA,0.0.0044
Both.Unknown,C,0.0029.0.0064
Unknown.None,D,0.0009.0.0023
Unknown.Unknown,D,0.0019.0.0023
Unknown.None,C,0.0.0038
Unknown.Unknown,C,0.0024.0.0503
Unknown.Unknown,C,0.0.0016
Unknown.Unknown,C,0.0008.0.0017
Unknown.Unknown,C,0.0006.0.0135
Unknown.Dominant,D,0.001.0.0023
Unknown.Recessive,C,0.0.0035
Unknown.Dominant,D,0.0025.0.0031
None.Both,D,0.0.0007
Unknown.None,C,0.0012.0.0181
Unknown.Both,D,0.0035.0.0456
Unknown.Unknown,C,0.0.0685
Dominant.Unknown,D,0.0.0073
Unknown.Unknown,C,0.0.002
Unknown.Unknown,D,0.0017.0.0086
Unknown.Unknown,D,0.0035.0.0058
Unknown.Unknown,D,0.0051.0.0093
Unknown.Unknown,D,0.0.0023
Unknown.Unknown,D,0.0008.0.0011
Unknown.Unknown,C,0.0.0736
Unknown.None,D,0.0048.0.007
Unknown.Dominant,D,0.0027.0.0096
None.Recessive,D,0.0019.0.0028
Unknown.None,C,0.0027.0.0056
Both.Unknown,C,0.002.0.009
Recessive.Unknown,C,0.0013.0.0021
Dominant.Unknown,C,0.0.0105
Unknown.Unknown,C,0.0015.0.002
Both.Dominant,NA,0.0.0243
Recessive.Recessive,D,0.0.0033
None.None,D,0.019.0.0505
Unknown.Unknown,C,0.0.0193
Both.Unknown,C,0.0051.0.0068
Unknown.Unknown,C,0.0019.0.0038
Unknown.Recessive,D,0.0026.0.0028
Unknown.None,D,0.0008.0.0027
Unknown.Unknown,D,0.001.0.0082
Unknown.None,NA,0.0017.0.018
Unknown.Unknown,C,0.0.0095
Unknown.Unknown,C,0.0.0019
Unknown.Unknown,NA,0.0035.0.0196
Unknown.Unknown,C,0.0019.0.0081
Both.Unknown,C,0.002.0.0067
Unknown.Dominant,D,0.003.0.0243
Unknown.Unknown,C,0.0021.0.0026
Unknown.Unknown,NA,0.0033.0.0093
Recessive.Unknown,C,0.0035.0.004
Unknown.Dominant,D,0.0035.0.0096
Unknown.Unknown,D,0.0024.0.0034
None.Unknown,C,0.0.0019
Unknown.Unknown,D,0.0022.0.0181
Unknown.Unknown,NA,0.0014.0.0035
Unknown.Unknown,C,0.0044.0.0134
Unknown.Unknown,C,0.0.0339
Unknown.Unknown,D,0.0.0027
Dominant.Recessive,C,0.0003.0.0027
Unknown.Unknown,C,0.0.003
None.Unknown,D,0.0.0038
Dominant.Unknown,C,0.0.0036
Unknown.Unknown,C,0.0011.0.0014
Unknown.Unknown,NA,0.0012.0.005
Unknown.Unknown,D,0.0022.0.0038
Unknown.Unknown,D,0.0093.0.0451
Unknown.Unknown,C,0.001.0.0198
Dominant.Unknown,C,0.0021.0.028
Unknown.Unknown,C,0.0018.0.0027
Unknown.Unknown,D,0.0063.0.0477
Unknown.Unknown,C,0.0008.0.0014
None.None,C,0.001.0.0019
Unknown.Unknown,D,0.0.0011
Unknown.Unknown,C,0.0.0014
Unknown.Recessive,D,0.0.0022
Dominant.Unknown,C,0.0016.0.0049
Unknown.Unknown,C,0.0.0011
Unknown.Unknown,C,0.0.001
Dominant.Unknown,D,0.0033.0.0034
Unknown.Unknown,C,0.0011.0.0078
