Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Unknown.Unknown,C,0.004,0.0077,0.0037
Recessive.Unknown,C,0.0013,0.0028,0.0015
Unknown.Unknown,NA,0,0.0014,0.0014
Unknown.Unknown,NA,0.0006,0.0179,0.0173
Unknown.Unknown,C,0,0.0035,0.0035
Unknown.Unknown,C,0.0005,0.0018,0.0013
Dominant.Unknown,C,0,0.0244,0.0244
Unknown.None,C,0.002,0.006,0.004
Dominant.Unknown,C,0.0016,0.0056,0.004
None.None,C,0.0088,0.0314,0.0226
None.None,C,0,0.0008,0.0008
Unknown.Unknown,D,0.0019,0.0041,0.0022
Unknown.Unknown,D,0.0015,0.0128,0.0113
Recessive.Unknown,D,0,0.0029,0.0029
Unknown.Unknown,C,0,0.0058,0.0058
Unknown.Unknown,D,0,0.0523,0.0523
Dominant.Unknown,C,0,0.001,0.001
Unknown.Dominant,D,0.0011,0.0022,0.0011
Recessive.Recessive,C,0.001,0.0024,0.0014
Dominant.Unknown,C,0.0075,0.0182,0.0107
Dominant.Unknown,C,0.004,0.0083,0.0043
None.Recessive,C,0.0049,0.0314,0.0265
Unknown.Unknown,C,0,0.0022,0.0022
Unknown.Unknown,C,0.0006,0.0011,0.0005
None.Unknown,NA,0,0.0029,0.0029
Dominant.Unknown,C,0,0.0033,0.0033
None.Unknown,D,0.0024,0.004,0.0016
Unknown.Unknown,C,0.0012,0.0052,0.004
Unknown.Recessive,D,0,0.008,0.008
Dominant.Unknown,D,0.0004,0.0023,0.0019
None.Unknown,D,0.0029,0.0032,0.0003
Unknown.Unknown,C,0,0.0007,0.0007
Unknown.Unknown,C,0.0023,0.0035,0.0012
Unknown.Dominant,D,0,0.0029,0.0029
Both.Unknown,C,0.0025,0.0028,0.0003
Dominant.Unknown,C,0.0013,0.0047,0.0034
Dominant.Both,D,0.0015,0.0027,0.0012
None.Unknown,C,0.0005,0.0007,0.0002
Unknown.Unknown,C,0.0017,0.0047,0.003
Dominant.Unknown,C,0.001,0.0054,0.0044
Recessive.Dominant,D,0.0008,0.0175,0.0167
Unknown.Unknown,D,0.0009,0.002,0.0011
Unknown.None,C,0.0029,0.0066,0.0037
Unknown.Dominant,D,0.0026,0.0179,0.0153
Unknown.Dominant,C,0.0355,0.067,0.0315
Recessive.Unknown,D,0.0011,0.003,0.0019
None.Both,D,0.0039,0.0339,0.03
Unknown.Recessive,C,0.0012,0.0616,0.0604
Unknown.Unknown,C,0,0.1103,0.1103
Unknown.Unknown,D,0,0.0025,0.0025
None.Unknown,C,0.0051,0.0093,0.0042
Unknown.Unknown,NA,0.0003,0.0009,0.0006
Unknown.Unknown,D,0.0007,0.004,0.0033
Recessive.Unknown,C,0.0007,0.003,0.0023
Unknown.Recessive,C,0,0.0066,0.0066
Unknown.Dominant,NA,0.0077,0.0101,0.0024
Both.Unknown,C,0,0.0289,0.0289
Dominant.Recessive,D,0.0008,0.0031,0.0023
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.Unknown,C,0.0011,0.1819,0.1808
Dominant.Unknown,C,0,0.0037,0.0037
Recessive.Unknown,C,0.0013,0.0041,0.0028
Unknown.Unknown,D,0,0.0013,0.0013
None.Unknown,D,0.0025,0.004,0.0015
None.Unknown,D,0.0019,0.0021,0.0002
Unknown.Unknown,D,0,0.0011,0.0011
Unknown.Unknown,C,0.0045,0.0046,0.0001
Dominant.Unknown,C,0.0017,0.0135,0.0118
None.Dominant,C,0.0009,0.002,0.0011
Unknown.Recessive,C,0,0.0022,0.0022
Both.Unknown,C,0.0007,0.0036,0.0029
Unknown.Unknown,D,0.0197,0.0344,0.0147
Unknown.Unknown,C,0.0008,0.0281,0.0273
Unknown.Unknown,D,0.0006,0.0023,0.0017
Dominant.Unknown,C,0.0022,0.0041,0.0019
Dominant.Dominant,D,0,0.036,0.036
Both.Both,D,0,0.0028,0.0028
Unknown.Unknown,C,0,0.0007,0.0007
Unknown.Unknown,C,0.0006,0.0018,0.0012
Unknown.Unknown,D,0.0063,0.0081,0.0018
Unknown.Unknown,D,0.0023,0.003,0.0007
Unknown.Recessive,C,0.0005,0.0253,0.0248
Unknown.Unknown,C,0.0027,0.0056,0.0029
Dominant.Unknown,C,0.0009,0.0029,0.002
Dominant.Dominant,D,0.0065,0.0196,0.0131
Unknown.Unknown,D,0,0.0011,0.0011
Dominant.Dominant,C,0.0012,0.0025,0.0013
Unknown.Unknown,C,0,0.0053,0.0053
Dominant.Unknown,C,0.0016,0.0017,9.99999999999998e-05
Unknown.Recessive,C,0.0042,0.0314,0.0272
Unknown.Recessive,D,0,0.0247,0.0247
None.Unknown,C,0,0.108,0.108
Unknown.Recessive,D,0.0044,0.0052,0.000799999999999999
Unknown.Unknown,D,0,0.0013,0.0013
Dominant.Unknown,C,0.0009,0.0012,0.0003
Unknown.Unknown,C,0.001,0.0047,0.0037
Unknown.Unknown,C,0,0.0018,0.0018
Unknown.Recessive,D,0.0029,0.0329,0.03
Recessive.Both,C,0.0038,0.0049,0.0011
Unknown.Unknown,C,0.001,0.0015,0.0005
Unknown.Unknown,C,0,0.0272,0.0272
Unknown.Unknown,D,0.0032,0.0246,0.0214
Unknown.Unknown,C,0.0051,0.0159,0.0108
Unknown.None,C,0.0011,0.0019,0.0008
Unknown.Unknown,C,0.0036,0.0042,0.0006
Unknown.Unknown,D,0.0012,0.0021,0.0009
None.None,NA,0.0055,0.0076,0.0021
Unknown.Unknown,D,0,0.0749,0.0749
Recessive.Dominant,D,0.0013,0.0024,0.0011
Unknown.None,D,0.0016,0.0049,0.0033
Unknown.Unknown,C,0.0009,0.001,0.0001
Unknown.Unknown,NA,0.0033,0.0057,0.0024
Dominant.Unknown,D,0.0049,0.0073,0.0024
Unknown.Unknown,C,0.0034,0.108,0.1046
Recessive.Unknown,C,0,0.0062,0.0062
Unknown.Unknown,C,0.0018,0.0028,0.001
Unknown.Recessive,D,0,0.0052,0.0052
Dominant.Unknown,C,0,0.0418,0.0418
Recessive.None,C,0.0032,0.0071,0.0039
Unknown.Unknown,D,0.0014,0.0015,0.0001
Unknown.Unknown,C,0.0013,0.0576,0.0563
Unknown.Unknown,D,0.0009,0.0017,0.0008
None.Recessive,D,0.0027,0.0038,0.0011
Unknown.Unknown,D,0.0016,0.0021,0.0005
Unknown.Unknown,C,0.0006,0.004,0.0034
Unknown.None,C,0.0007,0.0016,0.0009
Unknown.Unknown,C,0,0.0015,0.0015
Unknown.Dominant,C,0.0029,0.0035,0.0006
Unknown.Dominant,D,0.0008,0.0047,0.0039
Unknown.Unknown,C,0.001,0.0226,0.0216
Unknown.Unknown,D,0.001,0.0032,0.0022
None.Unknown,C,0.0007,0.0012,0.0005
Unknown.Unknown,D,0,0.0034,0.0034
Unknown.Unknown,D,0.0005,0.0136,0.0131
Unknown.Unknown,D,0,0.0009,0.0009
Unknown.Unknown,C,0.0059,0.0071,0.0012
Unknown.Unknown,D,0.0024,0.0029,0.0005
Both.Unknown,C,0.0006,0.0069,0.0063
None.None,NA,0.0005,0.0389,0.0384
Dominant.Unknown,C,0,0.0136,0.0136
Recessive.Unknown,C,0,0.0008,0.0008
Unknown.None,C,0.0014,0.0049,0.0035
Unknown.Unknown,C,0,0.001,0.001
Unknown.None,C,0,0.0054,0.0054
Unknown.Both,C,0.0014,0.0077,0.0063
None.Unknown,C,0,0.0015,0.0015
Recessive.Unknown,C,0.0022,0.0026,0.0004
Dominant.Unknown,C,0.0017,0.0227,0.021
None.Unknown,C,0,0.1168,0.1168
None.Unknown,NA,0.0029,0.0092,0.0063
Unknown.None,C,0,0.4414,0.4414
Unknown.Unknown,C,0,0.0127,0.0127
Unknown.Unknown,D,0.0005,0.0112,0.0107
Unknown.Unknown,C,0.0017,0.006,0.0043
Unknown.Recessive,D,0,0.0013,0.0013
Both.Dominant,C,0.0006,0.0017,0.0011
Unknown.Unknown,C,0.0008,0.0057,0.0049
Unknown.Unknown,C,0,0.034,0.034
Unknown.None,C,0,0.0062,0.0062
Both.Recessive,C,0.0026,0.0035,0.0009
Dominant.Unknown,C,0,0.0026,0.0026
Recessive.Unknown,C,0,0.0071,0.0071
Recessive.Unknown,C,0.0033,0.0204,0.0171
None.Unknown,D,0,0.002,0.002
Unknown.Unknown,D,0.0014,0.0142,0.0128
Unknown.Unknown,C,0,0.001,0.001
Unknown.Dominant,C,0,0.0037,0.0037
Unknown.None,NA,0.0063,0.0319,0.0256
Unknown.Unknown,C,0,0.0017,0.0017
Unknown.Unknown,D,0.0008,0.0514,0.0506
Unknown.Unknown,C,0.0004,0.0014,0.001
Unknown.Dominant,D,0.0015,0.0073,0.0058
Unknown.Unknown,C,0.0015,0.0164,0.0149
Both.Dominant,C,0.0007,0.0029,0.0022
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.Unknown,C,0,0.0019,0.0019
None.None,D,0.0007,0.0216,0.0209
Dominant.Unknown,C,0,0.0011,0.0011
Unknown.Recessive,C,0.0004,0.0014,0.001
None.None,C,0,0.0014,0.0014
Unknown.None,NA,0.0063,0.0308,0.0245
Both.Unknown,C,0.0009,0.0127,0.0118
Unknown.Unknown,C,0.0018,0.0038,0.002
Unknown.Unknown,C,0,0.0029,0.0029
Unknown.Dominant,D,0.0006,0.0017,0.0011
Unknown.Unknown,C,0,0.1082,0.1082
None.Unknown,D,0.0029,0.0219,0.019
Both.Unknown,C,0.001,0.0062,0.0052
Unknown.Unknown,C,0,0.0078,0.0078
Unknown.Recessive,C,0.0023,0.0055,0.0032
None.Unknown,NA,0.0029,0.0055,0.0026
Unknown.None,C,0.0072,0.0095,0.0023
Unknown.Unknown,D,0.0004,0.0005,0.0001
Unknown.Unknown,C,0,0.0028,0.0028
Unknown.None,C,0.0004,0.0033,0.0029
Unknown.Unknown,C,0.0009,0.0221,0.0212
Unknown.Recessive,C,0.001,0.0046,0.0036
Unknown.Unknown,NA,0,0.0021,0.0021
Unknown.Unknown,C,0.0026,0.0057,0.0031
Recessive.Unknown,C,0.0009,0.0067,0.0058
Unknown.Unknown,C,0,0.004,0.004
Dominant.None,C,0.0011,0.0084,0.0073
Recessive.Unknown,C,0.0005,0.0466,0.0461
Unknown.Unknown,D,0,0.0005,0.0005
Dominant.Dominant,C,0,0.0061,0.0061
Dominant.Unknown,C,0,0.0006,0.0006
Unknown.Unknown,NA,0,0.002,0.002
Unknown.Unknown,C,0,0.0042,0.0042
Unknown.Unknown,C,0,0.0009,0.0009
Unknown.Unknown,D,0.0023,0.0027,0.0004
None.Unknown,D,0,0.0075,0.0075
Unknown.Unknown,C,0,0.0421,0.0421
Unknown.None,C,0,0.01,0.01
Unknown.Unknown,C,0.0023,0.006,0.0037
Dominant.Both,C,0.0025,0.0102,0.0077
Unknown.None,D,0.0018,0.0019,0.0001
Unknown.None,C,0.0015,0.0187,0.0172
Unknown.None,D,0,0.0053,0.0053
Unknown.None,C,0,0.0247,0.0247
Unknown.Unknown,C,0.0044,0.008,0.0036
Unknown.Recessive,D,0.0005,0.0008,0.0003
Unknown.Unknown,NA,0.0033,0.017,0.0137
None.None,C,0.0009,0.0019,0.001
None.None,C,0.0022,0.0592,0.057
Unknown.Unknown,C,0.002,0.0538,0.0518
Unknown.None,C,0.0009,0.0213,0.0204
Dominant.Dominant,C,0,0.0017,0.0017
Unknown.Unknown,C,0,0.0005,0.0005
Unknown.Unknown,D,0,0.0008,0.0008
Unknown.Both,C,0.0022,0.0032,0.001
Unknown.Unknown,C,0.0049,0.0079,0.003
Dominant.Unknown,C,0,0.0205,0.0205
Unknown.None,NA,0.0033,0.0051,0.0018
Unknown.None,D,0.0007,0.0024,0.0017
Unknown.Dominant,D,0,0.0008,0.0008
Unknown.None,C,0,0.0025,0.0025
Recessive.Unknown,C,0.0005,0.0048,0.0043
Recessive.Unknown,C,0,0.0013,0.0013
Unknown.Unknown,C,0.0018,0.0038,0.002
Unknown.Unknown,C,0.0017,0.0027,0.001
Unknown.Unknown,D,0.0062,0.0065,0.0003
Unknown.Unknown,C,0.0025,0.0316,0.0291
Unknown.Unknown,C,0.0009,0.0022,0.0013
Unknown.Unknown,C,0,0.0553,0.0553
Unknown.Dominant,D,0.0054,0.0175,0.0121
Unknown.Unknown,D,0.0018,0.0518,0.05
Unknown.Both,C,0,0.0111,0.0111
Recessive.Unknown,C,0,0.0009,0.0009
Unknown.Unknown,C,0,0.0023,0.0023
Dominant.Recessive,D,0.0046,0.1926,0.188
Unknown.None,C,0.0016,0.0019,0.0003
Unknown.Dominant,C,0,0.0029,0.0029
Unknown.Unknown,NA,0.001,0.0034,0.0024
Recessive.Unknown,D,0.0009,0.0067,0.0058
Unknown.Recessive,C,0.0086,0.0111,0.0025
Unknown.Unknown,C,0,0.0028,0.0028
Unknown.Unknown,D,0.0015,0.0457,0.0442
Unknown.Unknown,C,0.004,0.006,0.002
Dominant.Unknown,C,0,0.0007,0.0007
None.Unknown,C,0.0005,0.0015,0.001
Unknown.Unknown,C,0.0011,0.0027,0.0016
Recessive.None,C,0.0027,0.0037,0.001
Unknown.Recessive,C,0.0006,0.0134,0.0128
Unknown.Unknown,C,0,0.0261,0.0261
Unknown.Unknown,C,0.0008,0.0019,0.0011
Unknown.Unknown,C,0.0032,0.0151,0.0119
Unknown.Dominant,C,0.0024,0.0038,0.0014
Unknown.Unknown,C,0.0016,0.0278,0.0262
Unknown.Unknown,D,0.0018,0.0051,0.0033
Unknown.Unknown,C,0.0016,0.0053,0.0037
Unknown.Unknown,C,0,0.0023,0.0023
None.Unknown,NA,0.0029,0.0151,0.0122
Unknown.Unknown,C,0.0025,0.1349,0.1324
Unknown.Unknown,C,0.0101,0.0161,0.006
Dominant.Unknown,D,0.0003,0.0234,0.0231
Unknown.Unknown,C,0.0005,0.0083,0.0078
Unknown.None,C,0.002,0.003,0.001
Unknown.Unknown,D,0.0008,0.0042,0.0034
Dominant.Unknown,D,0.0012,0.0027,0.0015
Dominant.Unknown,D,0,0.0005,0.0005
Dominant.Unknown,C,0,0.0013,0.0013
Unknown.Unknown,C,0.001,0.0022,0.0012
Unknown.Both,D,0.0022,0.0086,0.0064
Unknown.Unknown,C,0.0015,0.0051,0.0036
Unknown.Recessive,C,0,0.0009,0.0009
Unknown.Unknown,C,0.0204,0.0404,0.02
Unknown.Unknown,C,0.0024,0.0059,0.0035
Unknown.Recessive,D,0.0056,0.1297,0.1241
None.Dominant,NA,0,0.0026,0.0026
Unknown.Dominant,C,0.0012,0.0023,0.0011
Unknown.Unknown,D,0,0.0005,0.0005
Unknown.Unknown,C,0.0006,0.0085,0.0079
Unknown.None,NA,0.0063,0.029,0.0227
Unknown.Unknown,D,0.0021,0.0022,0.0001
Unknown.Unknown,NA,0.0018,0.0224,0.0206
Unknown.Unknown,D,0.0052,0.0102,0.005
Dominant.Unknown,D,0.0009,0.0021,0.0012
Unknown.Unknown,C,0,0.0457,0.0457
Unknown.Unknown,D,0.0015,0.0018,0.0003
Dominant.Dominant,D,0,0.0273,0.0273
Unknown.Recessive,C,0,0.0226,0.0226
Recessive.None,D,0.001,0.0066,0.0056
Dominant.Unknown,C,0,0.0063,0.0063
None.None,D,0.0039,0.0069,0.003
Recessive.None,C,0.0014,0.0017,0.0003
Recessive.Recessive,D,0.0015,0.0123,0.0108
Unknown.None,C,0.0011,0.0064,0.0053
Unknown.Unknown,C,0.0004,0.0027,0.0023
Unknown.Unknown,D,0.0015,0.0026,0.0011
None.Unknown,D,0.0011,0.0033,0.0022
Unknown.None,C,0.0018,0.0053,0.0035
Unknown.Unknown,C,0.0014,0.002,0.0006
Unknown.Dominant,D,0,0.0029,0.0029
Dominant.Unknown,C,0,0.0005,0.0005
Unknown.Recessive,D,0.0058,0.02,0.0142
None.None,NA,0.0051,0.0084,0.0033
Dominant.Dominant,C,0.0009,0.023,0.0221
Dominant.Dominant,D,0.0036,0.0123,0.0087
Dominant.Dominant,C,0.001,0.0035,0.0025
Unknown.Recessive,D,0.0009,0.0029,0.002
Unknown.Unknown,C,0.0151,0.1349,0.1198
Unknown.None,C,0,0.0054,0.0054
Unknown.Unknown,C,0.001,0.0037,0.0027
None.Unknown,C,0.0017,0.0055,0.0038
Dominant.Dominant,C,0.0002,0.002,0.0018
None.Unknown,D,0.002,0.003,0.001
Unknown.Unknown,C,0.0026,0.0091,0.0065
Unknown.None,D,0.0013,0.0093,0.008
Dominant.Unknown,D,0,0.0136,0.0136
Unknown.Unknown,D,0.0016,0.0026,0.001
Recessive.Unknown,D,0.0006,0.0022,0.0016
Unknown.Unknown,D,0.001,0.0021,0.0011
Unknown.Unknown,D,0,0.0005,0.0005
Unknown.Unknown,D,0.0039,0.0041,0.000200000000000001
Unknown.Unknown,NA,0.0016,0.0072,0.0056
Unknown.Unknown,C,0,0.0018,0.0018
Unknown.Unknown,C,0,0.0152,0.0152
Unknown.Unknown,C,0.022,0.0292,0.0072
Unknown.Unknown,C,0.0015,0.0055,0.004
Unknown.Unknown,D,0.002,0.0023,0.0003
None.Unknown,C,0.0008,0.0058,0.005
Unknown.Unknown,D,0.0024,0.028,0.0256
Unknown.Unknown,C,0.0015,0.0048,0.0033
Unknown.None,C,0.0014,0.0033,0.0019
Unknown.Unknown,C,0,0.045,0.045
Recessive.None,NA,0.0015,0.0089,0.0074
Unknown.Unknown,C,0,0.007,0.007
Unknown.Unknown,C,0.0011,0.0029,0.0018
Both.Dominant,C,0.0007,0.002,0.0013
Unknown.None,NA,0.0019,0.0902,0.0883
None.Unknown,C,0.0053,0.0132,0.0079
Unknown.Unknown,C,0.002,0.0168,0.0148
Dominant.Dominant,C,0.0025,0.0464,0.0439
None.Dominant,D,0.0051,0.0125,0.0074
None.Unknown,C,0.0024,0.0116,0.0092
Unknown.Unknown,C,0.0005,0.0135,0.013
Unknown.Recessive,D,0.0086,0.057,0.0484
Recessive.Unknown,C,0,0.0039,0.0039
Unknown.Unknown,C,0.0041,0.0371,0.033
Unknown.Unknown,D,0.002,0.0052,0.0032
Unknown.Unknown,NA,0.002,0.028,0.026
Unknown.Unknown,D,0,0.0012,0.0012
Unknown.Unknown,C,0.0025,0.0096,0.0071
Unknown.Recessive,C,0,0.0008,0.0008
Unknown.Dominant,C,0,0.0024,0.0024
Unknown.Unknown,C,0.001,0.0166,0.0156
Recessive.Recessive,C,0.0026,0.0047,0.0021
Unknown.None,C,0.0011,0.0028,0.0017
Dominant.Unknown,D,0.0022,0.0223,0.0201
Unknown.Unknown,D,0.0023,0.0028,0.0005
None.None,C,0.0006,0.0041,0.0035
None.None,C,0.003,0.0038,0.0008
Unknown.Unknown,C,0.0063,0.0084,0.0021
Unknown.Recessive,C,0.0021,0.0054,0.0033
Unknown.Unknown,C,0.0009,0.0125,0.0116
Unknown.None,C,0.0068,0.0177,0.0109
Dominant.Unknown,C,0.0005,0.0057,0.0052
Dominant.Both,D,0.0005,0.0018,0.0013
Unknown.Unknown,D,0,0.002,0.002
Unknown.Unknown,C,0.0018,0.006,0.0042
Unknown.Unknown,C,0.0021,0.0039,0.0018
Unknown.Unknown,C,0.0042,0.0053,0.0011
Recessive.Unknown,C,0.0008,0.0136,0.0128
Unknown.Unknown,C,0,0.0035,0.0035
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.None,NA,0.0008,0.0042,0.0034
Unknown.Recessive,C,0.0025,0.2063,0.2038
Unknown.Unknown,D,0.0018,0.0159,0.0141
Unknown.Unknown,C,0.0026,0.0063,0.0037
Unknown.Unknown,C,0.002,0.0134,0.0114
None.Unknown,C,0.0006,0.0031,0.0025
Recessive.Recessive,NA,0,0.0008,0.0008
Dominant.Unknown,C,0.0005,0.0034,0.0029
Recessive.Unknown,C,0.0024,0.0037,0.0013
Unknown.Unknown,C,0.0015,0.0076,0.0061
Dominant.None,NA,0,0.128,0.128
Unknown.Unknown,C,0.0016,0.062,0.0604
Both.Recessive,C,0.0046,0.006,0.0014
Recessive.Unknown,C,0.0075,0.0079,0.000400000000000001
Dominant.None,C,0,0.0025,0.0025
Unknown.Unknown,C,0,0.01,0.01
Unknown.Unknown,C,0.0016,0.0301,0.0285
Recessive.Recessive,D,0,0.067,0.067
None.Unknown,C,0.0053,0.0278,0.0225
Unknown.Unknown,D,0,0.0019,0.0019
Unknown.Unknown,C,0.0335,0.1982,0.1647
Unknown.Unknown,D,0.0006,0.0029,0.0023
Unknown.Unknown,C,0,0.0013,0.0013
Unknown.Unknown,C,0,0.0042,0.0042
Both.Unknown,C,0.0023,0.0034,0.0011
Unknown.Unknown,D,0,0.0116,0.0116
Unknown.Recessive,D,0.0012,0.0046,0.0034
Unknown.None,C,0.001,0.006,0.005
Unknown.Unknown,C,0,0.0024,0.0024
Recessive.Unknown,C,0.0033,0.0081,0.0048
Dominant.None,C,0.0033,0.0092,0.0059
Dominant.Unknown,C,0.0018,0.0079,0.0061
Unknown.Unknown,D,0.0008,0.0053,0.0045
None.None,C,0.002,0.0053,0.0033
Unknown.Recessive,D,0.0041,0.0194,0.0153
Unknown.Dominant,D,0.0008,0.0009,9.99999999999999e-05
Recessive.Recessive,D,0.005,0.0248,0.0198
Dominant.Unknown,D,0.0048,0.0097,0.0049
Unknown.Unknown,C,0,0.0035,0.0035
Unknown.Unknown,D,0.0006,0.0022,0.0016
Unknown.None,C,0,0.0102,0.0102
Recessive.Unknown,C,0.0043,0.013,0.0087
Dominant.Unknown,C,0,0.0026,0.0026
Unknown.Unknown,D,0.0034,0.0053,0.0019
Unknown.Unknown,C,0,0.0054,0.0054
Unknown.Unknown,D,0.0063,0.0364,0.0301
None.Unknown,C,0.0009,0.0034,0.0025
Unknown.Unknown,C,0.0014,0.003,0.0016
Unknown.Unknown,D,0.0044,0.0118,0.0074
Dominant.Dominant,C,0.0012,0.0218,0.0206
Unknown.Unknown,C,0.0118,0.0559,0.0441
None.Unknown,C,0.003,0.0046,0.0016
Dominant.Unknown,C,0.0004,0.0008,0.0004
None.Unknown,D,0.0073,0.0308,0.0235
Unknown.None,C,0,0.0088,0.0088
Unknown.Unknown,C,0,0.0016,0.0016
Dominant.Dominant,D,0,0.0012,0.0012
Unknown.Unknown,D,0.0029,0.027,0.0241
Recessive.Unknown,NA,0.0075,0.0144,0.0069
Unknown.None,NA,0,0.0095,0.0095
Unknown.Unknown,C,0.0013,0.0018,0.0005
Unknown.Unknown,C,0.0009,0.0026,0.0017
Unknown.Unknown,C,0.0014,0.0068,0.0054
Unknown.None,D,0.0008,0.0021,0.0013
None.Unknown,C,0.0053,0.3332,0.3279
Unknown.Unknown,D,0.0027,0.0122,0.0095
Unknown.Unknown,D,0.0023,0.0024,9.99999999999998e-05
None.None,C,0.0038,0.0102,0.0064
Unknown.Recessive,D,0,0.0011,0.0011
Unknown.Recessive,D,0.0016,0.0028,0.0012
Recessive.Unknown,C,0.0037,0.01,0.0063
