Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
None.Unknown,C,0.0069,0.0184,0.0115
Unknown.Unknown,C,0.0011,0.002,0.0009
Unknown.Unknown,D,0.0004,0.0005,0.0001
Unknown.Unknown,C,0,0.0007,0.0007
Unknown.Unknown,C,0.0061,0.0112,0.0051
Unknown.Both,C,0.0009,0.0082,0.0073
Dominant.Recessive,D,0.0009,0.0013,0.0004
None.Unknown,D,0.001,0.0017,0.0007
Unknown.None,C,0.0011,0.0027,0.0016
Unknown.Unknown,D,0,0.002,0.002
None.None,C,0.0029,0.006,0.0031
Both.Both,C,0.0007,0.0016,0.0009
None.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0.0008,0.002,0.0012
None.Recessive,C,0.0006,0.0013,0.0007
Recessive.Recessive,C,0.0036,0.0193,0.0157
Both.Unknown,C,0,0.0188,0.0188
None.Recessive,C,0.0037,0.0105,0.0068
Unknown.Unknown,C,0,0.0006,0.0006
Unknown.Unknown,NA,0,0.0048,0.0048
Unknown.Unknown,C,0.0009,0.0078,0.0069
Unknown.Dominant,D,0,0.0014,0.0014
Unknown.None,C,0,0.0053,0.0053
None.Unknown,D,0.0021,0.0514,0.0493
Unknown.Unknown,C,0.002,0.0282,0.0262
Unknown.Unknown,D,0.0022,0.0082,0.006
Unknown.None,NA,0,0.0021,0.0021
None.None,C,0.0021,0.0068,0.0047
None.None,D,0,0.0015,0.0015
Unknown.Recessive,C,0.0009,0.0036,0.0027
Unknown.Unknown,D,0.0041,0.0251,0.021
Unknown.Unknown,C,0.001,0.004,0.003
Unknown.Unknown,C,0,0.0107,0.0107
None.None,C,0.0022,0.0068,0.0046
Unknown.Unknown,D,0.0014,0.0136,0.0122
Dominant.Unknown,C,0,0.0009,0.0009
Unknown.Unknown,C,0.0267,0.0576,0.0309
Unknown.Unknown,C,0,0.0045,0.0045
Unknown.Unknown,C,0.0032,0.0046,0.0014
Recessive.Recessive,C,0.0006,0.001,0.0004
Unknown.Unknown,D,0,0.0256,0.0256
Unknown.Unknown,C,0.0013,0.0014,0.0001
Recessive.Unknown,D,0.0042,0.0083,0.0041
Dominant.Unknown,C,0.0044,0.028,0.0236
Unknown.Unknown,C,0.0011,0.0012,9.99999999999998e-05
Unknown.Unknown,NA,0.0009,0.005,0.0041
None.None,C,0.0017,0.0102,0.0085
Unknown.Unknown,D,0.0027,0.0051,0.0024
Dominant.Dominant,D,0.0029,0.0761,0.0732
Unknown.Recessive,D,0.0006,0.0022,0.0016
Unknown.None,C,0,0.0049,0.0049
Dominant.Recessive,C,0,0.0008,0.0008
Unknown.Unknown,D,0.001,0.0014,0.0004
Unknown.Unknown,C,0,0.0029,0.0029
Unknown.Unknown,C,0.0012,0.0026,0.0014
Unknown.Recessive,C,0.0019,0.0443,0.0424
Unknown.Both,D,0,0.0177,0.0177
Unknown.Unknown,C,0.0008,0.0023,0.0015
Dominant.Unknown,C,0.0016,0.0148,0.0132
Unknown.Unknown,D,0.004,0.015,0.011
Unknown.None,C,0.0011,0.0064,0.0053
Dominant.Unknown,C,0,0.0004,0.0004
Unknown.Unknown,C,0.0038,0.1128,0.109
Dominant.Unknown,C,0.0017,0.0039,0.0022
Unknown.Unknown,NA,0,0.0067,0.0067
Dominant.Unknown,C,0.0015,0.0029,0.0014
Unknown.Dominant,C,0.0005,0.0017,0.0012
Unknown.Unknown,C,0.0065,0.0143,0.0078
Unknown.Unknown,NA,0.0064,0.0156,0.0092
Unknown.Unknown,D,0,0.02,0.02
Recessive.Unknown,C,0.0014,0.0033,0.0019
Unknown.None,C,0,0.0016,0.0016
None.Unknown,C,0.0021,0.0032,0.0011
Both.Unknown,C,0.003,0.0034,0.0004
Unknown.Dominant,D,0,0.0029,0.0029
Unknown.Unknown,C,0.0012,0.0024,0.0012
Unknown.Unknown,D,0.0077,0.0082,0.0005
Recessive.None,C,0.0014,0.0147,0.0133
Unknown.Unknown,C,0.0025,0.006,0.0035
Recessive.Recessive,C,0.0029,0.0087,0.0058
Unknown.Unknown,C,0.0025,0.0029,0.0004
None.None,C,0,0.0367,0.0367
Recessive.Both,D,0.0047,0.0408,0.0361
Unknown.Unknown,C,0,0.0037,0.0037
None.Unknown,D,0,0.0018,0.0018
Dominant.Dominant,C,0,0.0009,0.0009
Unknown.Unknown,C,0,0.0502,0.0502
Unknown.Unknown,C,0.0005,0.0229,0.0224
Unknown.Unknown,C,0,0.0039,0.0039
Dominant.Unknown,C,0.0012,0.0013,0.0001
None.Unknown,D,0,0.0027,0.0027
None.Unknown,C,0.0013,0.0023,0.001
Unknown.Unknown,D,0,0.0374,0.0374
Unknown.None,D,0.0015,0.0102,0.0087
Unknown.Dominant,C,0.0008,0.0065,0.0057
Unknown.Unknown,D,0,0.0348,0.0348
None.None,C,0.0053,0.0056,0.0003
Dominant.Recessive,C,0.0013,0.0043,0.003
None.Recessive,D,0.0012,0.0017,0.0005
Both.Dominant,C,0.0007,0.0012,0.0005
None.Unknown,D,0,0.0792,0.0792
Unknown.Unknown,NA,0.002,0.023,0.021
Unknown.Unknown,C,0.0022,0.0029,0.0007
Unknown.Unknown,C,0,0.0078,0.0078
Unknown.Unknown,C,0,0.002,0.002
Unknown.Unknown,C,0.0013,0.0102,0.0089
Unknown.Unknown,C,0.0029,0.0033,0.0004
Unknown.Unknown,D,0.0009,0.0292,0.0283
Unknown.Unknown,C,0.0127,0.0205,0.0078
Unknown.Unknown,C,0,0.0063,0.0063
Unknown.Unknown,C,0,0.0065,0.0065
Recessive.Unknown,C,0,0.0017,0.0017
Unknown.Unknown,C,0.0023,0.0042,0.0019
None.Dominant,D,0.0023,0.0097,0.0074
Unknown.Unknown,C,0.0017,0.0145,0.0128
Unknown.Unknown,D,0.008,0.0082,0.000200000000000001
Recessive.Recessive,D,0.0036,0.0097,0.0061
Unknown.None,C,0,0.0057,0.0057
Unknown.Unknown,C,0.001,0.1819,0.1809
Unknown.Unknown,C,0.0006,0.0037,0.0031
Unknown.Unknown,D,0.0019,0.0029,0.001
None.Unknown,D,0,0.0105,0.0105
Unknown.Unknown,C,0.0016,0.0042,0.0026
None.None,C,0.0024,0.0032,0.0008
Unknown.Unknown,D,0,0.0266,0.0266
Unknown.Unknown,C,0,0.003,0.003
Unknown.Dominant,D,0.0031,0.0075,0.0044
Unknown.Unknown,C,0.0025,0.0034,0.0009
Recessive.Unknown,D,0.0011,0.0012,9.99999999999998e-05
Unknown.Recessive,D,0.0019,0.0087,0.0068
Unknown.Both,D,0.0029,0.0177,0.0148
Unknown.Recessive,D,0.0007,0.0015,0.0008
Unknown.Unknown,D,0.0036,0.0094,0.0058
Unknown.Unknown,D,0.0034,0.0075,0.0041
Unknown.Unknown,C,0,0.0049,0.0049
Unknown.Unknown,D,0,0.002,0.002
Unknown.Unknown,C,0,0.0008,0.0008
Unknown.Unknown,C,0.0006,0.0392,0.0386
Dominant.None,C,0,0.012,0.012
Dominant.Unknown,C,0.0012,0.0029,0.0017
Both.Unknown,C,0.0005,0.0153,0.0148
Dominant.Dominant,D,0.0002,0.0003,0.0001
Dominant.Unknown,D,0.0013,0.0016,0.0003
None.Unknown,D,0,0.0091,0.0091
Unknown.Unknown,D,0.002,0.0034,0.0014
Dominant.Unknown,D,0.0008,0.0016,0.0008
Unknown.Unknown,C,0,0.1819,0.1819
Unknown.None,D,0,0.0066,0.0066
Dominant.Unknown,C,0,0.0082,0.0082
Unknown.None,NA,0.0009,0.128,0.1271
Unknown.None,NA,0.0006,0.0021,0.0015
Unknown.Unknown,D,0.002,0.0021,9.99999999999998e-05
Both.Dominant,C,0.0023,0.0033,0.001
Dominant.Dominant,D,0,0.0273,0.0273
None.None,C,0.0013,0.0037,0.0024
Unknown.Unknown,C,0.0097,0.0277,0.018
Unknown.Unknown,D,0.0006,0.0019,0.0013
Unknown.Recessive,C,0.003,0.0441,0.0411
Unknown.Unknown,C,0.0205,0.0217,0.0012
Dominant.Recessive,C,0,0.0226,0.0226
Unknown.None,NA,0.0063,0.0308,0.0245
Recessive.Unknown,NA,0.0008,0.0026,0.0018
Dominant.Recessive,C,0.0013,0.0209,0.0196
Dominant.Recessive,D,0.0058,0.0064,0.000600000000000001
Recessive.Recessive,C,0.0023,0.024,0.0217
Unknown.None,D,0.0009,0.0034,0.0025
Unknown.Unknown,NA,0.0013,0.0015,0.0002
Unknown.Unknown,C,0,0.0046,0.0046
None.Recessive,D,0.0018,0.0052,0.0034
Unknown.None,C,0.0044,0.0064,0.002
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.Unknown,C,0.0009,0.0234,0.0225
Unknown.Dominant,D,0.0004,0.0009,0.0005
Recessive.Unknown,D,0.0006,0.0017,0.0011
Unknown.Unknown,D,0,0.002,0.002
Unknown.Unknown,C,0.0023,0.0035,0.0012
None.None,C,0.0017,0.0021,0.0004
Unknown.Unknown,C,0,0.0025,0.0025
Both.Dominant,C,0.0181,0.0243,0.0062
Both.Recessive,C,0,0.0049,0.0049
Unknown.Unknown,C,0,0.0026,0.0026
Unknown.Recessive,D,0.0008,0.001,0.0002
Unknown.None,NA,0.0063,0.0279,0.0216
Unknown.Unknown,D,0.0062,0.0098,0.0036
Unknown.Recessive,C,0,0.0022,0.0022
Recessive.Unknown,C,0.0006,0.001,0.0004
Recessive.Unknown,D,0.0037,0.0082,0.0045
Unknown.Unknown,D,0,0.1068,0.1068
Unknown.Unknown,C,0,0.0032,0.0032
Unknown.Both,D,0.0004,0.0015,0.0011
Unknown.Unknown,C,0.0011,0.0083,0.0072
Unknown.Unknown,C,0.0021,0.0024,0.0003
None.Unknown,D,0,0.0019,0.0019
Dominant.None,C,0.0008,0.0025,0.0017
Unknown.Unknown,C,0,0.0015,0.0015
Unknown.Unknown,C,0.0048,0.0082,0.0034
Unknown.Unknown,C,0,0.002,0.002
Dominant.None,C,0.0028,0.0051,0.0023
Both.Unknown,C,0.0038,0.0055,0.0017
Both.Unknown,C,0.004,0.027,0.023
Unknown.Unknown,D,0.001,0.0033,0.0023
Both.Dominant,C,0.0016,0.0017,9.99999999999998e-05
Unknown.Unknown,D,0.0053,0.0116,0.0063
Unknown.Unknown,D,0.0024,0.0191,0.0167
None.Unknown,C,0.0049,0.0053,0.0004
Dominant.Dominant,C,0.0008,0.0202,0.0194
Unknown.Both,D,0,0.0028,0.0028
Unknown.Unknown,C,0.0018,0.0126,0.0108
Unknown.Unknown,D,0.0023,0.0102,0.0079
Recessive.Unknown,C,0,0.0024,0.0024
Unknown.Unknown,D,0.0014,0.0028,0.0014
Dominant.Unknown,C,0,0.0012,0.0012
Dominant.Unknown,D,0.0006,0.0015,0.0009
Unknown.Unknown,C,0.0023,0.0061,0.0038
Unknown.None,NA,0.0063,0.0306,0.0243
Unknown.Unknown,C,0,0.0025,0.0025
None.Unknown,C,0,0.0019,0.0019
None.Dominant,D,0,0.003,0.003
Unknown.Unknown,D,0.0006,0.0017,0.0011
Recessive.Unknown,C,0.0008,0.0014,0.0006
Unknown.Unknown,NA,0.0021,0.0048,0.0027
Unknown.Unknown,C,0.004,0.0054,0.0014
Unknown.Unknown,C,0.0009,0.0026,0.0017
Unknown.NA,NA,0.0023,0.0375,0.0352
Unknown.Unknown,C,0.0008,0.0246,0.0238
Unknown.Recessive,D,0.0013,0.0022,0.0009
Unknown.Unknown,C,0.0007,0.0041,0.0034
None.Unknown,C,0.004,0.0159,0.0119
Unknown.Dominant,D,0.0044,0.0927,0.0883
Recessive.None,C,0.0049,0.0188,0.0139
Unknown.Unknown,C,0.0009,0.0159,0.015
Unknown.Recessive,C,0,0.0009,0.0009
Unknown.Recessive,C,0,0.0105,0.0105
None.None,C,0.0018,0.0052,0.0034
Both.Both,D,0.002,0.0054,0.0034
Unknown.None,C,0.0014,0.0092,0.0078
Unknown.Unknown,D,0.0013,0.0022,0.0009
Dominant.None,C,0.0185,0.0433,0.0248
Dominant.Unknown,D,0.001,0.0082,0.0072
Unknown.Recessive,C,0.0005,0.0006,9.99999999999999e-05
Unknown.Recessive,C,0.0057,0.0105,0.0048
None.Unknown,C,0.0053,0.3292,0.3239
Dominant.Unknown,C,0.0039,0.0558,0.0519
Unknown.None,C,0,0.0223,0.0223
Dominant.Unknown,C,0,0.001,0.001
Dominant.Unknown,C,0.0009,0.0015,0.0006
Unknown.Recessive,C,0.0014,0.0029,0.0015
Dominant.Recessive,D,0.0004,0.0096,0.0092
Both.Unknown,C,0.001,0.0031,0.0021
Unknown.Recessive,C,0.002,0.0026,0.0006
Dominant.Unknown,C,0,0.0027,0.0027
Dominant.Unknown,C,0.002,0.0056,0.0036
Unknown.Dominant,D,0,0.0161,0.0161
Unknown.Unknown,C,0.0012,0.0116,0.0104
Unknown.Unknown,NA,0,0.0013,0.0013
Both.Both,C,0.0181,0.0916,0.0735
Unknown.None,C,0.0023,0.0092,0.0069
None.Unknown,C,0.0064,0.0085,0.0021
Both.Dominant,D,0.0005,0.0006,9.99999999999999e-05
Dominant.Unknown,C,0,0.0272,0.0272
Unknown.Unknown,D,0,0.001,0.001
Dominant.Recessive,C,0.0021,0.0025,0.0004
Unknown.Unknown,D,0,0.0025,0.0025
Unknown.Unknown,C,0,0.0019,0.0019
Dominant.Unknown,D,0,0.0014,0.0014
Recessive.Both,C,0.0023,0.0145,0.0122
Unknown.Unknown,C,0.0175,0.1051,0.0876
Unknown.None,D,0,0.0021,0.0021
Unknown.Unknown,C,0.0018,0.0204,0.0186
None.Both,C,0.0012,0.0061,0.0049
Unknown.Unknown,C,0,0.0592,0.0592
Unknown.Unknown,C,0.0005,0.0047,0.0042
None.Unknown,D,0.0025,0.0041,0.0016
Dominant.Unknown,C,0,0.0022,0.0022
Unknown.Unknown,C,0.0014,0.0072,0.0058
Recessive.Recessive,D,0,0.0003,0.0003
Unknown.None,NA,0.0002,0.0102,0.01
Unknown.Recessive,C,0.0018,0.0522,0.0504
None.None,C,0.0027,0.0071,0.0044
Unknown.Unknown,C,0,0.0051,0.0051
Unknown.Unknown,C,0.0047,0.0135,0.0088
Unknown.Unknown,C,0.0012,0.0042,0.003
None.Dominant,C,0,0.0006,0.0006
Unknown.Unknown,C,0,0.0018,0.0018
Dominant.Dominant,D,0,0.0004,0.0004
Unknown.Unknown,C,0.0822,0.0992,0.017
None.Unknown,D,0.0016,0.0019,0.0003
Unknown.None,D,0.0012,0.0216,0.0204
Unknown.Unknown,C,0.0023,0.0068,0.0045
Dominant.Unknown,C,0,0.0271,0.0271
Recessive.Unknown,C,0.0006,0.0134,0.0128
Unknown.Unknown,D,0.0094,0.011,0.0016
None.Recessive,C,0.0025,0.0536,0.0511
Unknown.Unknown,C,0.0006,0.0073,0.0067
Unknown.Recessive,C,0.0008,0.0048,0.004
Both.Dominant,D,0,0.0596,0.0596
Dominant.Unknown,C,0,0.0114,0.0114
Unknown.Unknown,C,0,0.0011,0.0011
Unknown.Unknown,D,0.0062,0.007,0.0008
Unknown.Unknown,D,0.0041,0.1398,0.1357
None.Unknown,D,0,0.004,0.004
Unknown.Unknown,C,0,0.0233,0.0233
Dominant.Unknown,C,0.0009,0.0085,0.0076
Unknown.Recessive,C,0,0.0013,0.0013
Dominant.Dominant,NA,0.001,0.0101,0.0091
Unknown.Recessive,D,0.0023,0.003,0.0007
Dominant.Dominant,D,0.0043,0.0069,0.0026
Unknown.Unknown,C,0,0.0015,0.0015
Unknown.Unknown,C,0.0015,0.0092,0.0077
Unknown.None,C,0,0.0102,0.0102
Unknown.Unknown,C,0.0018,0.0335,0.0317
Unknown.Unknown,D,0.0132,0.0264,0.0132
Unknown.Unknown,D,0,0.0048,0.0048
Unknown.Unknown,C,0.0012,0.0111,0.0099
Recessive.Unknown,D,0.0039,0.0206,0.0167
Both.Unknown,D,0.0025,0.0043,0.0018
Unknown.Unknown,C,0.0012,0.004,0.0028
Unknown.None,D,0,0.0715,0.0715
Recessive.Recessive,C,0.0027,0.0086,0.0059
Both.Dominant,C,0.0034,0.0057,0.0023
Unknown.Both,D,0.0031,0.0032,0.0001
Dominant.Unknown,C,0.0005,0.002,0.0015
Unknown.Unknown,C,0.0007,0.002,0.0013
Dominant.Unknown,D,0.0018,0.03,0.0282
Unknown.Unknown,D,0.001,0.0038,0.0028
Unknown.Unknown,C,0.0087,0.1982,0.1895
Unknown.Both,D,0.0062,0.07,0.0638
None.Dominant,D,0,0.0067,0.0067
Unknown.Unknown,C,0.0018,0.0027,0.0009
Dominant.None,NA,0.0456,0.128,0.0824
None.None,D,0,0.0161,0.0161
None.Unknown,C,0,0.0008,0.0008
Unknown.Unknown,C,0,0.0041,0.0041
Unknown.Unknown,C,0.0018,0.0404,0.0386
Unknown.Unknown,D,0.0015,0.0026,0.0011
Dominant.None,NA,0,0.0038,0.0038
Unknown.Unknown,C,0.003,0.0065,0.0035
None.Recessive,D,0.0007,0.0061,0.0054
Unknown.Both,C,0.0011,0.0102,0.0091
Recessive.None,C,0,0.008,0.008
Unknown.Unknown,C,0,0.0034,0.0034
Unknown.None,NA,0.0025,0.0067,0.0042
Recessive.None,C,0.0031,0.0049,0.0018
Recessive.Unknown,C,0,0.0021,0.0021
Unknown.Unknown,C,0.0007,0.0009,0.0002
Unknown.Unknown,D,0.0026,0.0054,0.0028
Dominant.Unknown,D,0.0017,0.0136,0.0119
Unknown.Unknown,D,0.0008,0.0024,0.0016
Dominant.Unknown,C,0.0009,0.0016,0.0007
Unknown.Unknown,C,0.0011,0.0039,0.0028
Unknown.Recessive,C,0.0006,0.001,0.0004
Unknown.Unknown,D,0.0038,0.0043,0.0005
Unknown.Recessive,C,0.0006,0.0036,0.003
Dominant.Unknown,C,0.0011,0.0012,9.99999999999998e-05
Dominant.Unknown,C,0.0006,0.0026,0.002
Unknown.Dominant,C,0.0005,0.0017,0.0012
Both.Unknown,D,0.0049,0.0099,0.005
Dominant.Unknown,C,0.0008,0.0025,0.0017
Unknown.Dominant,C,0,0.0309,0.0309
Unknown.Unknown,D,0.002,0.0023,0.0003
Unknown.Unknown,C,0.0024,0.003,0.0006
Unknown.Dominant,D,0.0028,0.0175,0.0147
Unknown.Unknown,C,0.0007,0.0012,0.0005
Both.Both,C,0.0009,0.001,0.0001
Unknown.Unknown,D,0.0019,0.0472,0.0453
Unknown.Recessive,C,0,0.0522,0.0522
Unknown.None,C,0.0056,0.0064,0.0008
Both.Recessive,C,0.0022,0.0068,0.0046
Unknown.Unknown,C,0.0014,0.0155,0.0141
Unknown.Unknown,C,0,0.0039,0.0039
None.Unknown,D,0.0562,0.0656,0.00940000000000001
Unknown.Unknown,D,0,0.0008,0.0008
Dominant.Unknown,D,0.0007,0.0008,0.0001
Unknown.Unknown,C,0,0.0057,0.0057
Unknown.Unknown,C,0.0021,0.0109,0.0088
None.Unknown,C,0.0006,0.0081,0.0075
Dominant.Both,C,0.001,0.0037,0.0027
Unknown.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0.0019,0.0036,0.0017
Unknown.Unknown,C,0.0014,0.0184,0.017
Unknown.Dominant,D,0.0016,0.0196,0.018
Unknown.Unknown,D,0,0.0018,0.0018
Unknown.Dominant,C,0.001,0.0179,0.0169
Unknown.None,C,0,0.0013,0.0013
Unknown.Unknown,C,0.0015,0.0033,0.0018
Unknown.Unknown,C,0.0022,0.0029,0.0007
Recessive.Recessive,D,0.0028,0.0633,0.0605
Unknown.Unknown,D,0.0012,0.0025,0.0013
Recessive.Unknown,C,0.001,0.0052,0.0042
None.None,C,0.0005,0.0017,0.0012
Unknown.Unknown,C,0.0009,0.0013,0.0004
Unknown.Unknown,D,0.0035,0.0223,0.0188
Recessive.Unknown,C,0.0019,0.0072,0.0053
Unknown.Unknown,NA,0.0012,0.0245,0.0233
Recessive.Recessive,C,0,0.0031,0.0031
Unknown.None,NA,0.0063,0.0259,0.0196
Unknown.Unknown,D,0.0013,0.0169,0.0156
Unknown.Dominant,D,0,0.0068,0.0068
Unknown.None,C,0,0.001,0.001
Unknown.None,C,0,0.0161,0.0161
Unknown.Recessive,C,0.001,0.0024,0.0014
Recessive.Recessive,D,0.0017,0.0019,0.0002
Unknown.Unknown,C,0.0012,0.0091,0.0079
Unknown.Recessive,C,0.0017,0.0026,0.0009
Unknown.Recessive,D,0.0033,0.0068,0.0035
None.None,D,0.0025,0.0033,0.0008
Unknown.Unknown,D,0,0.0011,0.0011
Unknown.Recessive,D,0.0071,0.0374,0.0303
Unknown.Unknown,C,0,0.0048,0.0048
Unknown.Unknown,C,0,0.0098,0.0098
None.None,D,0.0026,0.0091,0.0065
Unknown.Unknown,C,0,0.0024,0.0024
Dominant.Unknown,D,0.0033,0.006,0.0027
Unknown.Unknown,D,0.007,0.0449,0.0379
Unknown.Unknown,C,0.0007,0.0054,0.0047
None.Unknown,D,0.0014,0.0021,0.0007
Recessive.Dominant,C,0.0027,0.0191,0.0164
Recessive.Unknown,C,0.0025,0.0289,0.0264
Unknown.Recessive,D,0,0.0051,0.0051
Unknown.Recessive,C,0,0.0034,0.0034
Unknown.Unknown,C,0.0013,0.0103,0.009
Unknown.Recessive,D,0,0.0026,0.0026
Unknown.Dominant,C,0,0.0762,0.0762
Unknown.Unknown,C,0.0018,0.1982,0.1964
Unknown.Unknown,C,0.0007,0.0019,0.0012
Unknown.Unknown,D,0.0071,0.011,0.0039
Unknown.Unknown,D,0.0016,0.0022,0.0006
Both.Recessive,D,0.0023,0.0106,0.0083
None.Dominant,D,0,0.005,0.005
Unknown.Unknown,C,0.0015,0.0066,0.0051
Dominant.Unknown,C,0.0044,0.0274,0.023
Unknown.None,C,0.0016,0.0026,0.001
Unknown.Unknown,C,0.0029,0.0055,0.0026
None.Unknown,C,0.0053,0.3292,0.3239
None.None,C,0,0.0012,0.0012
Unknown.Recessive,C,0.0018,0.0086,0.0068
Unknown.Unknown,D,0,0.0007,0.0007
Unknown.Unknown,C,0.0019,0.0043,0.0024
Dominant.Unknown,D,0.0022,0.0406,0.0384
Recessive.Dominant,D,0.0226,0.0372,0.0146
Dominant.Unknown,D,0,0.013,0.013
Recessive.Unknown,D,0.0015,0.0242,0.0227
Unknown.Unknown,D,0.0034,0.0136,0.0102
Unknown.Unknown,NA,0.0011,0.0014,0.0003
Unknown.Unknown,C,0.0043,0.0045,0.0002
Recessive.Recessive,C,0.0045,0.0089,0.0044
Unknown.Recessive,D,0.0015,0.0022,0.0007
Unknown.Recessive,C,0.0008,0.0015,0.0007
Unknown.Unknown,C,0.0011,0.0226,0.0215
None.Unknown,NA,0.0021,0.0023,0.0002
Unknown.None,C,0,0.0181,0.0181
Dominant.None,C,0.0003,0.0084,0.0081
Unknown.Unknown,C,0,0.0022,0.0022
Unknown.Unknown,D,0,0.0077,0.0077
Recessive.Unknown,C,0.0014,0.004,0.0026
Recessive.Recessive,C,0.0032,0.0038,0.0006
Unknown.None,NA,0.0063,0.0287,0.0224
