Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Recessive.Recessive,C,0,0.0105,0.0105
Unknown.None,D,0.0039,0.0042,0.0003
Recessive.Unknown,D,0.0043,0.0094,0.0051
Unknown.Unknown,S,0.0058,0.0075,0.0017
Unknown.Unknown,C,0,0.0036,0.0036
None.Recessive,C,0,0.0039,0.0039
Unknown.Recessive,NA,0.0018,0.0033,0.0015
None.Unknown,D,0.0075,0.0201,0.0126
Unknown.Dominant,D,0.0036,0.0122,0.0086
Both.Dominant,C,0.0007,0.0034,0.0027
Unknown.Unknown,C,0.0016,0.0038,0.0022
Unknown.None,NA,0,0.0542,0.0542
Unknown.Unknown,D,0.0048,0.0051,0.000300000000000001
Unknown.Unknown,C,0,0.004,0.004
None.Recessive,C,0.0013,0.0035,0.0022
Unknown.Dominant,D,0.0036,0.0096,0.006
Unknown.Unknown,C,0.0027,0.0048,0.0021
None.Unknown,D,0.0012,0.0018,0.0006
Both.Unknown,C,0.0016,0.0143,0.0127
Unknown.Unknown,C,0.0021,0.0337,0.0316
Unknown.Unknown,C,0,0.038,0.038
Unknown.Unknown,C,0,0.003,0.003
Recessive.Dominant,C,0.0033,0.0191,0.0158
Unknown.Unknown,C,0.0004,0.0021,0.0017
Unknown.Unknown,D,0.0014,0.0015,0.0001
Unknown.Unknown,D,0.0195,0.0465,0.027
Unknown.Unknown,D,0,0.0023,0.0023
Unknown.Dominant,C,0.0006,0.0259,0.0253
Dominant.Both,C,0.004,0.1721,0.1681
Unknown.Unknown,D,0.0005,0.0028,0.0023
Dominant.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,D,0.0018,0.0039,0.0021
Unknown.Dominant,C,0.0021,0.0179,0.0158
Unknown.Unknown,C,0,0.0007,0.0007
Unknown.Unknown,C,0,0.007,0.007
Unknown.Unknown,C,0.0028,0.0212,0.0184
Unknown.Unknown,D,0,0.007,0.007
Dominant.Dominant,C,0,0.0246,0.0246
Unknown.Unknown,C,0,0.0058,0.0058
Unknown.Unknown,D,0.0048,0.0109,0.0061
Unknown.Unknown,C,0,0.0077,0.0077
Unknown.Unknown,D,0.0028,0.0046,0.0018
Both.Unknown,NA,0,0.0054,0.0054
Unknown.Both,C,0.0017,0.1721,0.1704
Recessive.Dominant,C,0.0011,0.0076,0.0065
Dominant.Unknown,C,0,0.0015,0.0015
Unknown.Unknown,C,0,0.0091,0.0091
Unknown.Unknown,D,0.006,0.0253,0.0193
Unknown.Unknown,D,0.0039,0.0451,0.0412
Recessive.Dominant,C,0,0.0044,0.0044
Unknown.None,C,0,0.0074,0.0074
Unknown.Dominant,C,0.0016,0.003,0.0014
Unknown.None,NA,0.0013,0.0055,0.0042
Unknown.Unknown,C,0,0.0314,0.0314
Unknown.None,C,0.0014,0.046,0.0446
Unknown.Unknown,C,0,0.0043,0.0043
Unknown.Unknown,D,0,0.0025,0.0025
Unknown.None,NA,0.0058,0.0086,0.0028
Unknown.Recessive,C,0.0086,0.1087,0.1001
Unknown.Unknown,D,0.0011,0.0015,0.0004
Unknown.Unknown,C,0,0.0044,0.0044
Unknown.Unknown,D,0.0034,0.0053,0.0019
Unknown.Unknown,D,0.0011,0.0069,0.0058
Unknown.Unknown,D,0.0035,0.0109,0.0074
Both.Both,NA,0,0.0916,0.0916
Unknown.Unknown,D,0.001,0.0091,0.0081
None.Unknown,C,0.0008,0.003,0.0022
Unknown.Unknown,C,0,0.0093,0.0093
Both.Recessive,C,0.0027,0.0086,0.0059
Recessive.Unknown,C,0.0006,0.0294,0.0288
Unknown.Unknown,C,0,0.0025,0.0025
None.Recessive,C,0.0054,0.0305,0.0251
Unknown.Unknown,C,0,0.0036,0.0036
Unknown.Recessive,C,0.0027,0.0042,0.0015
Unknown.Unknown,C,0,0.0017,0.0017
None.None,D,0.0012,0.0021,0.0009
Unknown.Unknown,C,0.0092,0.0095,0.0003
None.None,C,0.0041,0.0064,0.0023
Unknown.Unknown,C,0.0091,0.0622,0.0531
Unknown.Unknown,C,0.0012,0.0524,0.0512
Both.None,NA,0.0025,0.018,0.0155
Unknown.Dominant,D,0,0.0025,0.0025
None.Dominant,D,0.0008,0.0175,0.0167
Unknown.Unknown,D,0,0.0015,0.0015
None.None,D,0,0.002,0.002
Unknown.Recessive,C,0.0018,0.0046,0.0028
Unknown.Unknown,C,0,0.0038,0.0038
Dominant.Dominant,C,0,0.0336,0.0336
Unknown.Unknown,C,0,0.0008,0.0008
Unknown.None,C,0.0016,0.0037,0.0021
Both.Recessive,NA,0,0.0008,0.0008
Dominant.Unknown,C,0.0013,0.0015,0.0002
None.Recessive,D,0.0056,0.0249,0.0193
Unknown.Unknown,D,0.004,0.0136,0.0096
Recessive.Unknown,C,0.0023,0.0055,0.0032
Unknown.Unknown,C,0,0.002,0.002
Unknown.Unknown,C,0.0036,0.0153,0.0117
Recessive.Unknown,C,0,0.0023,0.0023
None.None,D,0,0.0019,0.0019
Unknown.None,D,0,0.0032,0.0032
Unknown.Unknown,D,0.0052,0.0063,0.0011
Recessive.None,C,0.002,0.0481,0.0461
Dominant.Dominant,C,0.0003,0.0191,0.0188
None.Unknown,D,0.0154,0.1672,0.1518
None.None,D,0.0041,0.0078,0.0037
Unknown.Unknown,D,0.0045,0.0049,0.0004
Recessive.Both,D,0.0013,0.002,0.0007
Unknown.Unknown,D,0.0016,0.0017,9.99999999999998e-05
Unknown.Unknown,C,0.0038,0.0068,0.003
Unknown.Unknown,C,0.0018,0.0082,0.0064
Recessive.None,D,0.0115,0.0481,0.0366
Unknown.None,C,0.0013,0.0074,0.0061
None.Dominant,D,0.0094,0.0789,0.0695
Unknown.Unknown,C,0,0.0731,0.0731
Dominant.Dominant,C,0,0.0011,0.0011
Unknown.None,C,0.003,0.0096,0.0066
None.None,C,0.0019,0.0043,0.0024
None.None,D,0,0.0013,0.0013
Unknown.Unknown,C,0.0022,0.0035,0.0013
Unknown.Unknown,C,0.0018,0.007,0.0052
Unknown.Unknown,C,0,0.0018,0.0018
Unknown.Unknown,C,0.0019,0.0027,0.0008
Unknown.Unknown,C,0.0024,0.0045,0.0021
None.Unknown,C,0.0025,0.0033,0.0008
Dominant.None,C,0.0046,0.0823,0.0777
Recessive.Dominant,D,0,0.0009,0.0009
Both.Both,D,0.0007,0.0054,0.0047
Recessive.None,C,0,0.0505,0.0505
Unknown.Recessive,C,0,0.1113,0.1113
None.None,C,0.0018,0.0144,0.0126
Both.Unknown,D,0.0017,0.0086,0.0069
Unknown.Unknown,D,0,0.0013,0.0013
Unknown.Unknown,D,0.0027,0.0032,0.0005
Unknown.Unknown,C,0.0012,0.0032,0.002
Unknown.Unknown,D,0,0.0026,0.0026
None.Unknown,NA,0,0.0095,0.0095
Unknown.Unknown,C,0.0051,0.0052,9.99999999999994e-05
Unknown.Unknown,C,0.0009,0.0017,0.0008
None.Unknown,D,0.0012,0.0034,0.0022
Unknown.Recessive,NA,0.0027,0.0033,0.0006
Unknown.None,C,0.0011,0.0032,0.0021
None.Unknown,D,0.005,0.0055,0.0005
None.Unknown,C,0.0045,0.0278,0.0233
Recessive.Unknown,C,0.002,0.0021,9.99999999999998e-05
Unknown.Unknown,D,0.0036,0.0109,0.0073
Unknown.Unknown,D,0,0.0046,0.0046
Unknown.Unknown,C,0.0057,0.0078,0.0021
Unknown.None,C,0,0.0033,0.0033
Unknown.Both,D,0,0.0042,0.0042
Unknown.Both,C,0.0083,0.1721,0.1638
None.Unknown,D,0.0029,0.0278,0.0249
Unknown.Recessive,C,0,0.001,0.001
None.Unknown,D,0.0068,0.0514,0.0446
Unknown.Dominant,D,0.0019,0.0122,0.0103
Unknown.Unknown,C,0.0009,0.0053,0.0044
Unknown.Unknown,C,0,0.0105,0.0105
Unknown.Unknown,C,0.0064,0.0218,0.0154
Unknown.Unknown,C,0.0011,0.0193,0.0182
Unknown.Dominant,NA,0,0.0101,0.0101
Unknown.None,NA,0,0.6393,0.6393
Unknown.Unknown,C,0,0.0023,0.0023
Unknown.Unknown,C,0.0012,0.0024,0.0012
Recessive.Unknown,C,0.0119,0.0198,0.0079
None.None,D,0.0008,0.0433,0.0425
Unknown.None,C,0,0.0052,0.0052
Both.None,C,0.0016,0.004,0.0024
Unknown.None,C,0,0.0007,0.0007
Unknown.Unknown,D,0.0011,0.0012,9.99999999999998e-05
None.Unknown,C,0.0216,0.0358,0.0142
Unknown.Unknown,C,0.002,0.0044,0.0024
None.Unknown,C,0.0029,0.0036,0.0007
Dominant.Unknown,C,0.0021,0.0024,0.0003
None.Unknown,D,0.0038,0.0105,0.0067
Unknown.Unknown,C,0,0.0017,0.0017
Dominant.None,C,0.0067,0.046,0.0393
Unknown.None,C,0.0016,0.006,0.0044
Unknown.None,C,0,0.0042,0.0042
Unknown.Unknown,C,0,0.0019,0.0019
Dominant.Unknown,D,0,0.0014,0.0014
Unknown.Unknown,C,0.0011,0.0096,0.0085
Unknown.Unknown,D,0.0034,0.0064,0.003
Unknown.Unknown,C,0,0.0018,0.0018
Unknown.None,C,0.0017,0.0036,0.0019
Dominant.None,C,0.0037,0.0057,0.002
Both.None,C,0.0034,0.0089,0.0055
Unknown.Unknown,D,0.0022,0.0031,0.0009
Unknown.Unknown,C,0.0044,0.0045,9.99999999999994e-05
Both.Unknown,C,0.0042,0.0077,0.0035
Unknown.Both,C,0.003,0.0916,0.0886
Unknown.Recessive,D,0,0.0346,0.0346
Dominant.Unknown,D,0,0.0027,0.0027
Unknown.Dominant,D,0.003,0.0369,0.0339
Unknown.Unknown,C,0,0.0097,0.0097
None.Unknown,D,0.0019,0.0736,0.0717
Recessive.None,C,0.0021,0.0101,0.008
Unknown.Unknown,C,0.0014,0.0037,0.0023
Unknown.Unknown,D,0.0013,0.0054,0.0041
Unknown.Unknown,C,0,0.0692,0.0692
None.Unknown,D,0.0012,0.0045,0.0033
Unknown.Unknown,C,0.0057,0.011,0.0053
Unknown.Unknown,C,0,0.0012,0.0012
Dominant.Unknown,D,0,0.0022,0.0022
Unknown.Unknown,D,0.0029,0.0031,0.0002
Unknown.Unknown,C,0.001,0.0077,0.0067
Unknown.None,NA,0.0012,0.0109,0.0097
Dominant.Unknown,C,0.0013,0.0052,0.0039
Unknown.Unknown,C,0.0014,0.0063,0.0049
Unknown.Recessive,D,0.0054,0.0064,0.001
Recessive.Both,C,0,0.0029,0.0029
Dominant.Dominant,C,0,0.0044,0.0044
Unknown.Unknown,C,0.0011,0.0091,0.008
Recessive.Unknown,D,0,0.0328,0.0328
Unknown.Unknown,C,0.0011,0.0012,9.99999999999998e-05
Unknown.Recessive,D,0.0013,0.0323,0.031
Unknown.Unknown,C,0,0.0023,0.0023
Dominant.Unknown,C,0.0021,0.0274,0.0253
Unknown.Unknown,C,0.0019,0.0094,0.0075
Recessive.Unknown,C,0.0013,0.0161,0.0148
Unknown.Unknown,D,0.0007,0.0022,0.0015
Unknown.Dominant,D,0.0028,0.0057,0.0029
Unknown.Unknown,C,0.0012,0.0094,0.0082
Unknown.Dominant,C,0,0.0031,0.0031
Recessive.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0.0049,0.0056,0.0007
Recessive.Unknown,C,0,0.002,0.002
Recessive.Unknown,D,0.0065,0.0204,0.0139
Dominant.Unknown,C,0.0003,0.0302,0.0299
Unknown.Unknown,C,0.0009,0.0015,0.0006
Both.Unknown,NA,0,0.0028,0.0028
Unknown.Unknown,C,0.0016,0.0018,0.0002
Unknown.Unknown,C,0.0053,0.0064,0.0011
Recessive.Unknown,C,0,0.0015,0.0015
None.Unknown,C,0.0008,0.0404,0.0396
Both.Both,C,0.0003,0.0142,0.0139
None.Unknown,C,0.0029,0.0084,0.0055
Unknown.Both,C,0.0014,0.0109,0.0095
Unknown.Unknown,C,0.0151,0.0316,0.0165
Unknown.Unknown,D,0.0061,0.0093,0.0032
Unknown.Unknown,C,0.002,0.0081,0.0061
Unknown.Unknown,D,0.003,0.0095,0.0065
None.Unknown,D,0.01,0.0346,0.0246
Unknown.Dominant,C,0,0.0372,0.0372
Unknown.Unknown,C,0,0.0011,0.0011
Unknown.Recessive,D,0.0021,0.0036,0.0015
Unknown.Unknown,C,0.0006,0.0275,0.0269
Recessive.Recessive,D,0.0017,0.0086,0.0069
Dominant.Recessive,C,0.007,0.0095,0.0025
Unknown.None,NA,0.0014,0.0171,0.0157
Recessive.Unknown,C,0.0009,0.0065,0.0056
Unknown.Unknown,C,0.0069,0.0079,0.001
Unknown.Dominant,C,0.0084,0.0199,0.0115
Unknown.Unknown,C,0.0011,0.0015,0.0004
Dominant.Unknown,D,0.0013,0.367,0.3657
Unknown.Unknown,C,0.0011,0.0031,0.002
Unknown.Both,C,0.0016,0.0084,0.0068
Unknown.Dominant,C,0,0.001,0.001
None.Unknown,NA,0.0101,0.0622,0.0521
None.Unknown,D,0.002,0.0052,0.0032
Dominant.Unknown,C,0.0046,0.027,0.0224
None.Recessive,D,0.0032,0.0036,0.0004
Unknown.Dominant,C,0.0008,0.0044,0.0036
Unknown.Recessive,C,0,0.007,0.007
Unknown.Unknown,C,0.0027,0.0562,0.0535
Unknown.Dominant,D,0.0077,0.0372,0.0295
None.None,NA,0.0012,0.011,0.0098
Unknown.Unknown,D,0.0015,0.0018,0.0003
Unknown.Unknown,C,0.0018,0.0084,0.0066
Unknown.Unknown,D,0.0016,0.0027,0.0011
Dominant.Unknown,C,0,0.0006,0.0006
Unknown.Unknown,C,0,0.003,0.003
Unknown.Unknown,C,0,0.0012,0.0012
None.None,D,0.0035,0.0059,0.0024
Unknown.Unknown,C,0,0.001,0.001
Unknown.Unknown,C,0,0.0103,0.0103
Dominant.Both,C,0.0005,0.0054,0.0049
Dominant.Dominant,C,0,0.0372,0.0372
Unknown.Unknown,D,0.001,0.0014,0.0004
None.Unknown,C,0,0.0068,0.0068
Unknown.Unknown,C,0,0.0046,0.0046
Unknown.Unknown,D,0,0.0351,0.0351
Unknown.Unknown,D,0.0024,0.0065,0.0041
Unknown.Unknown,D,0.0022,0.0114,0.0092
Dominant.Both,C,0.0007,0.0054,0.0047
Dominant.None,C,0.0009,0.0052,0.0043
Unknown.Unknown,D,0.0004,0.0029,0.0025
None.None,D,0.0021,0.0022,0.0001
None.Unknown,C,0,0.0012,0.0012
Unknown.Unknown,D,0,0.0026,0.0026
Unknown.Recessive,C,0.0027,0.0038,0.0011
Unknown.Recessive,D,0.0013,0.0024,0.0011
Both.Dominant,NA,0,0.0369,0.0369
Dominant.Unknown,D,0.006,0.0393,0.0333
None.None,C,0.008,0.0116,0.0036
None.Unknown,C,0,0.003,0.003
None.Unknown,D,0.001,0.0021,0.0011
Unknown.Unknown,D,0,0.0105,0.0105
None.Recessive,D,0.0012,0.0019,0.0007
None.Unknown,C,0.0013,0.0015,0.0002
Both.Unknown,C,0.0034,0.0511,0.0477
Both.Both,NA,0,0.0016,0.0016
Dominant.Unknown,NA,0.0073,0.0092,0.0019
None.Unknown,D,0,0.0026,0.0026
Unknown.Unknown,D,0.0119,0.0121,0.000199999999999999
Unknown.Unknown,C,0.002,0.005,0.003
Unknown.Dominant,D,0,0.0017,0.0017
Unknown.Dominant,NA,0.001,0.0101,0.0091
Unknown.Unknown,C,0,0.0039,0.0039
Dominant.Unknown,D,0,0.0291,0.0291
Dominant.Unknown,C,0.0021,0.009,0.0069
Recessive.Recessive,D,0,0.0038,0.0038
Dominant.Unknown,C,0.0012,0.0013,0.0001
Unknown.Recessive,D,0.0011,0.0036,0.0025
Unknown.None,C,0.0042,0.0051,0.000900000000000001
Unknown.Unknown,C,0.0039,0.0071,0.0032
None.Unknown,D,0.0096,0.0099,0.000300000000000002
Unknown.Recessive,D,0.0065,0.0245,0.018
None.None,D,0.0009,0.0192,0.0183
Dominant.Recessive,C,0,0.0033,0.0033
None.None,NA,0.0007,0.0142,0.0135
Unknown.Dominant,D,0,0.0372,0.0372
Recessive.Both,D,0.0029,0.0031,0.0002
Unknown.Unknown,C,0.0006,0.0638,0.0632
Recessive.Both,C,0.0003,0.0028,0.0025
Unknown.Both,D,0.003,0.0145,0.0115
Both.Recessive,C,0.0029,0.0061,0.0032
Unknown.Unknown,C,0.0013,0.0023,0.001
Unknown.Unknown,C,0.0032,0.0229,0.0197
Unknown.Unknown,C,0,0.0184,0.0184
Unknown.Recessive,D,0,0.0036,0.0036
Unknown.Unknown,D,0.0008,0.0012,0.0004
Unknown.Unknown,C,0.0013,0.0253,0.024
None.None,D,0.0112,0.0505,0.0393
Unknown.Unknown,C,0.003,0.0054,0.0024
Unknown.Unknown,C,0.0017,0.003,0.0013
Unknown.Unknown,C,0,0.0023,0.0023
Recessive.Unknown,C,0.0028,0.0278,0.025
None.Unknown,D,0.0028,0.0047,0.0019
Unknown.Unknown,NA,0.0014,0.0028,0.0014
Dominant.Dominant,C,0.0003,0.1307,0.1304
Unknown.Unknown,C,0.0116,0.0215,0.0099
Both.Unknown,C,0.0028,0.0033,0.0005
Dominant.Both,D,0.001,0.0042,0.0032
Dominant.Unknown,C,0,0.003,0.003
Unknown.Unknown,D,0.0017,0.0084,0.0067
None.None,C,0.0019,0.0031,0.0012
Unknown.Unknown,C,0.0018,0.0026,0.0008
Unknown.Unknown,D,0.0019,0.0041,0.0022
Unknown.Recessive,D,0.016,0.0248,0.0088
Dominant.Dominant,C,0.0006,0.0007,0.0001
Both.Unknown,C,0.002,0.0024,0.0004
None.None,C,0.0091,0.0124,0.0033
Unknown.None,C,0.0003,0.0025,0.0022
Unknown.Recessive,C,0.0022,0.0066,0.0044
Dominant.Both,C,0.0005,0.0054,0.0049
Unknown.Unknown,C,0.0053,0.0218,0.0165
Unknown.Dominant,D,0.0048,0.0096,0.0048
Unknown.Unknown,C,0.0029,0.0036,0.0007
Unknown.Unknown,C,0.0004,0.0021,0.0017
Recessive.Unknown,D,0.0013,0.0081,0.0068
Unknown.Unknown,C,0.0023,0.0075,0.0052
Unknown.Both,D,0.0054,0.0271,0.0217
Recessive.Dominant,C,0.0007,0.0031,0.0024
Dominant.None,C,0.0185,0.027,0.0085
None.Recessive,D,0.0066,0.0249,0.0183
Dominant.Dominant,C,0.0042,0.0074,0.0032
Dominant.Both,D,0,0.0011,0.0011
Unknown.Dominant,C,0.0006,0.0017,0.0011
Unknown.Recessive,C,0.0008,0.0037,0.0029
Recessive.Unknown,D,0.0012,0.0574,0.0562
Unknown.Unknown,C,0.0008,0.0023,0.0015
Dominant.Dominant,C,0,0.0022,0.0022
Unknown.Unknown,D,0,0.0106,0.0106
Unknown.Unknown,D,0.0097,0.02,0.0103
Unknown.Unknown,D,0.0007,0.0043,0.0036
Unknown.Unknown,NA,0.0014,0.0025,0.0011
Both.Unknown,C,0.0025,0.0351,0.0326
Unknown.Unknown,C,0.0011,0.0155,0.0144
Unknown.Unknown,C,0,0.0007,0.0007
None.Both,D,0.0008,0.0016,0.0008
Recessive.Unknown,C,0,0.0018,0.0018
Unknown.Unknown,NA,0,0.0044,0.0044
Both.Unknown,C,0.0029,0.0064,0.0035
Unknown.None,D,0.0009,0.0023,0.0014
Unknown.Unknown,D,0.0019,0.0023,0.0004
Unknown.None,C,0,0.0038,0.0038
Unknown.Unknown,C,0.0024,0.0503,0.0479
Unknown.Unknown,C,0,0.0016,0.0016
Unknown.Unknown,C,0.0008,0.0017,0.0009
Unknown.Unknown,C,0.0006,0.0135,0.0129
Unknown.Dominant,D,0.001,0.0023,0.0013
Unknown.Recessive,C,0,0.0035,0.0035
Unknown.Dominant,D,0.0025,0.0031,0.0006
None.Both,D,0,0.0007,0.0007
Unknown.None,C,0.0012,0.0181,0.0169
Unknown.Both,D,0.0035,0.0456,0.0421
Unknown.Unknown,C,0,0.0685,0.0685
Dominant.Unknown,D,0,0.0073,0.0073
Unknown.Unknown,C,0,0.002,0.002
Unknown.Unknown,D,0.0017,0.0086,0.0069
Unknown.Unknown,D,0.0035,0.0058,0.0023
Unknown.Unknown,D,0.0051,0.0093,0.0042
Unknown.Unknown,D,0,0.0023,0.0023
Unknown.Unknown,D,0.0008,0.0011,0.0003
Unknown.Unknown,C,0,0.0736,0.0736
Unknown.None,D,0.0048,0.007,0.0022
Unknown.Dominant,D,0.0027,0.0096,0.0069
None.Recessive,D,0.0019,0.0028,0.0009
Unknown.None,C,0.0027,0.0056,0.0029
Both.Unknown,C,0.002,0.009,0.007
Recessive.Unknown,C,0.0013,0.0021,0.0008
Dominant.Unknown,C,0,0.0105,0.0105
Unknown.Unknown,C,0.0015,0.002,0.0005
Both.Dominant,NA,0,0.0243,0.0243
Recessive.Recessive,D,0,0.0033,0.0033
None.None,D,0.019,0.0505,0.0315
Unknown.Unknown,C,0,0.0193,0.0193
Both.Unknown,C,0.0051,0.0068,0.0017
Unknown.Unknown,C,0.0019,0.0038,0.0019
Unknown.Recessive,D,0.0026,0.0028,0.0002
Unknown.None,D,0.0008,0.0027,0.0019
Unknown.Unknown,D,0.001,0.0082,0.0072
Unknown.None,NA,0.0017,0.018,0.0163
Unknown.Unknown,C,0,0.0095,0.0095
Unknown.Unknown,C,0,0.0019,0.0019
Unknown.Unknown,NA,0.0035,0.0196,0.0161
Unknown.Unknown,C,0.0019,0.0081,0.0062
Both.Unknown,C,0.002,0.0067,0.0047
Unknown.Dominant,D,0.003,0.0243,0.0213
Unknown.Unknown,C,0.0021,0.0026,0.0005
Unknown.Unknown,NA,0.0033,0.0093,0.006
Recessive.Unknown,C,0.0035,0.004,0.0005
Unknown.Dominant,D,0.0035,0.0096,0.0061
Unknown.Unknown,D,0.0024,0.0034,0.001
None.Unknown,C,0,0.0019,0.0019
Unknown.Unknown,D,0.0022,0.0181,0.0159
Unknown.Unknown,NA,0.0014,0.0035,0.0021
Unknown.Unknown,C,0.0044,0.0134,0.009
Unknown.Unknown,C,0,0.0339,0.0339
Unknown.Unknown,D,0,0.0027,0.0027
Dominant.Recessive,C,0.0003,0.0027,0.0024
Unknown.Unknown,C,0,0.003,0.003
None.Unknown,D,0,0.0038,0.0038
Dominant.Unknown,C,0,0.0036,0.0036
Unknown.Unknown,C,0.0011,0.0014,0.0003
Unknown.Unknown,NA,0.0012,0.005,0.0038
Unknown.Unknown,D,0.0022,0.0038,0.0016
Unknown.Unknown,D,0.0093,0.0451,0.0358
Unknown.Unknown,C,0.001,0.0198,0.0188
Dominant.Unknown,C,0.0021,0.028,0.0259
Unknown.Unknown,C,0.0018,0.0027,0.0009
Unknown.Unknown,D,0.0063,0.0477,0.0414
Unknown.Unknown,C,0.0008,0.0014,0.0006
None.None,C,0.001,0.0019,0.0009
Unknown.Unknown,D,0,0.0011,0.0011
Unknown.Unknown,C,0,0.0014,0.0014
Unknown.Recessive,D,0,0.0022,0.0022
Dominant.Unknown,C,0.0016,0.0049,0.0033
Unknown.Unknown,C,0,0.0011,0.0011
Unknown.Unknown,C,0,0.001,0.001
Dominant.Unknown,D,0.0033,0.0034,9.99999999999998e-05
Unknown.Unknown,C,0.0011,0.0078,0.0067
