Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.4,D,HSS.HSS,redundant.redundant,0.0.0011
4.4,D,HSS.HSS,intermittent.redundant,0.0016.0.0028
4.3,C,HSS.HSS,redundant.redundant,0.0037.0.01
4.4,C,HSS.HSS,redundant.intermittent,0.0069.0.0184
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.002
2.3,D,HSS.HSS,redundant.redundant,0.0004.0.0005
4.4,C,HSS.HSS,redundant.intermittent,0.0.0007
4.4,C,HSS.HSS,redundant.redundant,0.0061.0.0112
3.4,C,HSS.HSS,intermittent.redundant,0.0009.0.0082
1.4,D,HSS.HSS,redundant.redundant,0.0009.0.0013
4.4,D,HSS.HSS,redundant.redundant,0.001.0.0017
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.0027
4.1,D,HSS.HSS,critical.redundant,0.0.002
3.4,C,HSS.HSS,intermittent.redundant,0.0.0016
4.4,C,HSS.Strict,redundant.redundant,0.0008.0.002
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.0013
3.2,C,HSS.HSS,critical.redundant,0.0036.0.0193
2.4,C,HSS.HSS,intermittent.redundant,0.0.0188
3.4,C,HSS.HSS,redundant.redundant,0.0.0006
4.4,NA,HSS.HSS,redundant.intermittent,0.0.0048
4.3,C,HSS.HSS,intermittent.redundant,0.0009.0.0078
3.3,D,HSS.HSS,redundant.redundant,0.0.0014
1.4,D,HSS.HSS,redundant.redundant,0.0021.0.0514
4.4,C,HSS.HSS,redundant.redundant,0.002.0.0282
1.1,C,HSS.HSS,redundant.redundant,0.0021.0.0068
2.4,D,HSS.HSS,redundant.redundant,0.0.0015
3.3,C,HSS.HSS,redundant.redundant,0.0009.0.0036
4.4,D,HSS.HSS,redundant.redundant,0.0041.0.0251
4.1,C,HSS.HSS,intermittent.redundant,0.001.0.004
4.3,C,HSS.HSS,redundant.redundant,0.0.0107
4.1,D,HSS.HSS,redundant.redundant,0.0014.0.0136
4.4,C,HSS.HSS,intermittent.redundant,0.0.0009
1.1,C,HSS.HSS,redundant.intermittent,0.0267.0.0576
4.4,C,HSS.HSS,redundant.redundant,0.0.0045
4.2,C,HSS.HSS,redundant.redundant,0.0032.0.0046
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.001
1.4,D,HSS.HSS,redundant.redundant,0.0.0256
4.3,C,Intermediate.HSS,redundant.critical,0.0013.0.0014
4.2,D,HSS.Intermediate,redundant.redundant,0.0042.0.0083
4.4,C,HSS.HSS,intermittent.redundant,0.0044.0.028
4.3,C,HSS.HSS,redundant.redundant,0.0011.0.0012
4.4,NA,HSS.HSS,critical.redundant,0.0009.0.005
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.0102
1.2,D,HSS.HSS,redundant.redundant,0.0027.0.0051
4.4,D,HSS.HSS,redundant.redundant,0.0029.0.0761
3.4,C,HSS.HSS,intermittent.intermittent,0.0.0049
1.4,C,HSS.HSS,redundant.redundant,0.0.0008
4.4,D,HSS.HSS,critical.intermittent,0.001.0.0014
3.3,C,HSS.HSS,critical.redundant,0.0.0029
4.4,C,HSS.HSS,redundant.redundant,0.0012.0.0026
4.4,C,HSS.HSS,redundant.redundant,0.0019.0.0443
4.3,C,HSS.HSS,redundant.redundant,0.0008.0.0023
2.1,C,HSS.HSS,critical.critical,0.0016.0.0148
3.4,D,HSS.HSS,critical.redundant,0.004.0.015
4.1,C,HSS.HSS,redundant.redundant,0.0.0004
2.4,C,Strict.HSS,redundant.redundant,0.0038.0.1128
2.3,C,HSS.HSS,redundant.redundant,0.0017.0.0039
4.1,NA,Strict.HSS,redundant.intermittent,0.0.0067
4.4,C,HSS.HSS,redundant.redundant,0.0015.0.0029
4.2,C,HSS.HSS,redundant.redundant,0.0005.0.0017
4.4,NA,HSS.HSS,redundant.redundant,0.0064.0.0156
4.3,D,Strict.HSS,redundant.intermittent,0.0.02
4.4,C,HSS.HSS,redundant.redundant,0.0014.0.0033
4.4,C,Intermediate.HSS,redundant.redundant,0.0.0016
4.4,C,HSS.HSS,redundant.redundant,0.0021.0.0032
2.3,C,HSS.HSS,redundant.redundant,0.003.0.0034
4.1,D,HSS.HSS,redundant.critical,0.0.0029
4.1,C,HSS.HSS,redundant.redundant,0.0012.0.0024
4.4,C,HSS.HSS,redundant.redundant,0.0014.0.0147
2.3,C,HSS.Intermediate,redundant.redundant,0.0025.0.006
3.3,C,HSS.HSS,redundant.redundant,0.0029.0.0087
2.4,C,HSS.Intermediate,intermittent.redundant,0.0025.0.0029
4.2,C,HSS.HSS,redundant.critical,0.0.0367
2.2,D,HSS.HSS,redundant.redundant,0.0047.0.0408
3.4,C,HSS.HSS,redundant.redundant,0.0.0037
3.3,D,HSS.HSS,redundant.redundant,0.0.0018
4.4,C,HSS.HSS,redundant.critical,0.0.0009
4.4,C,HSS.HSS,redundant.intermittent,0.0.0502
4.4,C,HSS.Intermediate,redundant.redundant,0.0005.0.0229
2.4,C,HSS.HSS,redundant.redundant,0.0.0039
2.4,C,HSS.HSS,intermittent.redundant,0.0012.0.0013
4.4,D,HSS.HSS,redundant.redundant,0.0.0027
4.4,C,HSS.HSS,redundant.redundant,0.0013.0.0023
1.1,D,HSS.HSS,redundant.redundant,0.0.0374
4.4,D,HSS.HSS,intermittent.intermittent,0.0015.0.0102
4.4,C,HSS.HSS,redundant.redundant,0.0008.0.0065
4.3,D,HSS.HSS,redundant.redundant,0.0.0348
2.4,C,HSS.HSS,intermittent.redundant,0.0013.0.0043
4.2,D,HSS.HSS,redundant.intermittent,0.0012.0.0017
4.4,C,HSS.HSS,redundant.redundant,0.0007.0.0012
4.4,D,HSS.HSS,redundant.redundant,0.0.0792
4.4,C,HSS.HSS,redundant.redundant,0.0022.0.0029
1.4,C,HSS.HSS,redundant.redundant,0.0.0078
4.4,C,HSS.HSS,redundant.intermittent,0.0.002
3.4,C,HSS.HSS,redundant.intermittent,0.0029.0.0033
4.2,D,HSS.HSS,intermittent.redundant,0.0009.0.0292
4.4,C,HSS.HSS,redundant.redundant,0.0127.0.0205
4.4,C,HSS.HSS,redundant.intermittent,0.0.0063
4.4,C,HSS.Strict,redundant.critical,0.0.0065
4.3,C,HSS.HSS,redundant.redundant,0.0.0017
1.4,C,Strict.HSS,redundant.redundant,0.0023.0.0042
1.2,D,HSS.HSS,redundant.critical,0.0023.0.0097
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.0145
4.4,D,HSS.HSS,redundant.intermittent,0.008.0.0082
4.4,D,HSS.HSS,redundant.redundant,0.0036.0.0097
4.1,C,HSS.HSS,redundant.redundant,0.0.0057
4.4,C,HSS.HSS,redundant.redundant,0.001.0.1819
1.4,C,HSS.HSS,redundant.redundant,0.0006.0.0037
4.4,D,HSS.HSS,redundant.redundant,0.0019.0.0029
2.3,D,HSS.HSS,intermittent.redundant,0.0.0105
4.3,C,HSS.HSS,intermittent.redundant,0.0016.0.0042
4.4,C,HSS.HSS,redundant.intermittent,0.0024.0.0032
4.3,D,HSS.HSS,intermittent.intermittent,0.0.0266
1.4,C,HSS.HSS,redundant.critical,0.0.003
3.4,D,HSS.HSS,redundant.intermittent,0.0031.0.0075
4.3,C,Strict.HSS,redundant.redundant,0.0025.0.0034
1.4,D,HSS.HSS,redundant.redundant,0.0011.0.0012
2.3,D,Intermediate.HSS,redundant.redundant,0.0019.0.0087
4.3,D,HSS.HSS,critical.redundant,0.0007.0.0015
4.4,D,HSS.HSS,redundant.critical,0.0036.0.0094
4.4,D,HSS.HSS,critical.intermittent,0.0034.0.0075
4.2,C,HSS.HSS,redundant.intermittent,0.0.0049
4.4,D,HSS.Strict,redundant.redundant,0.0.002
4.3,C,HSS.HSS,intermittent.critical,0.0.0008
2.4,C,HSS.HSS,redundant.redundant,0.0006.0.0392
4.2,C,HSS.HSS,redundant.redundant,0.0.012
4.3,C,HSS.HSS,redundant.redundant,0.0012.0.0029
4.4,C,HSS.HSS,critical.critical,0.0005.0.0153
4.3,D,HSS.HSS,redundant.redundant,0.0002.0.0003
1.4,D,HSS.HSS,redundant.redundant,0.0013.0.0016
1.4,D,HSS.HSS,redundant.redundant,0.0.0091
4.4,D,HSS.HSS,redundant.redundant,0.002.0.0034
3.2,D,HSS.HSS,redundant.intermittent,0.0008.0.0016
2.4,C,Intermediate.HSS,redundant.redundant,0.0.1819
4.4,D,HSS.HSS,redundant.redundant,0.0.0066
4.1,NA,HSS.HSS,redundant.redundant,0.0009.0.128
4.4,NA,HSS.HSS,redundant.redundant,0.0006.0.0021
4.4,D,HSS.HSS,redundant.intermittent,0.002.0.0021
4.4,C,HSS.Intermediate,redundant.intermittent,0.0023.0.0033
4.4,D,HSS.HSS,redundant.redundant,0.0.0273
4.4,C,Strict.HSS,redundant.redundant,0.0013.0.0037
3.4,C,HSS.HSS,redundant.redundant,0.0097.0.0277
1.3,D,HSS.HSS,redundant.redundant,0.0006.0.0019
4.4,C,HSS.HSS,intermittent.intermittent,0.003.0.0441
4.4,C,HSS.HSS,intermittent.intermittent,0.0.0226
2.4,NA,HSS.HSS,redundant.intermittent,0.0008.0.0026
4.4,C,HSS.HSS,critical.redundant,0.0013.0.0209
4.2,C,HSS.HSS,redundant.redundant,0.0023.0.024
4.1,D,HSS.HSS,redundant.redundant,0.0009.0.0034
1.2,NA,HSS.HSS,redundant.redundant,0.0013.0.0015
4.2,C,HSS.HSS,redundant.redundant,0.0.0046
4.3,D,HSS.HSS,redundant.redundant,0.0018.0.0052
2.4,C,HSS.HSS,redundant.redundant,0.0009.0.0234
1.2,D,HSS.HSS,redundant.redundant,0.0004.0.0009
2.3,D,HSS.HSS,intermittent.critical,0.0006.0.0017
1.4,D,HSS.HSS,redundant.redundant,0.0.002
4.1,C,HSS.HSS,redundant.redundant,0.0023.0.0035
4.4,C,HSS.HSS,redundant.redundant,0.0017.0.0021
4.4,C,HSS.HSS,redundant.redundant,0.0.0025
4.4,C,HSS.Strict,intermittent.redundant,0.0181.0.0243
4.4,C,HSS.HSS,redundant.redundant,0.0.0049
4.4,C,Strict.HSS,redundant.redundant,0.0.0026
4.4,D,HSS.HSS,redundant.redundant,0.0008.0.001
4.1,D,HSS.HSS,redundant.redundant,0.0062.0.0098
3.4,C,HSS.HSS,intermittent.redundant,0.0.0022
4.4,C,HSS.HSS,redundant.intermittent,0.0006.0.001
3.4,D,HSS.HSS,intermittent.redundant,0.0037.0.0082
4.1,D,HSS.HSS,intermittent.redundant,0.0.1068
2.4,C,HSS.HSS,critical.redundant,0.0.0032
4.4,D,HSS.HSS,critical.redundant,0.0004.0.0015
4.2,C,HSS.Intermediate,redundant.redundant,0.0011.0.0083
1.1,C,HSS.HSS,intermittent.redundant,0.0021.0.0024
4.1,C,HSS.HSS,redundant.intermittent,0.0.0015
4.1,C,HSS.HSS,redundant.redundant,0.0048.0.0082
1.2,C,HSS.HSS,redundant.redundant,0.0.002
4.4,C,HSS.HSS,redundant.redundant,0.0028.0.0051
3.4,C,HSS.HSS,redundant.redundant,0.0038.0.0055
4.4,C,HSS.HSS,intermittent.redundant,0.004.0.027
4.4,D,HSS.HSS,redundant.redundant,0.001.0.0033
1.4,C,Strict.HSS,intermittent.redundant,0.0016.0.0017
1.2,D,HSS.HSS,redundant.redundant,0.0053.0.0116
3.4,D,HSS.HSS,intermittent.redundant,0.0024.0.0191
4.4,C,HSS.HSS,redundant.redundant,0.0049.0.0053
4.4,C,HSS.HSS,redundant.redundant,0.0008.0.0202
4.4,D,HSS.HSS,redundant.redundant,0.0.0028
1.4,D,HSS.HSS,redundant.redundant,0.0023.0.0102
2.3,C,HSS.HSS,redundant.critical,0.0.0024
4.4,D,HSS.HSS,redundant.redundant,0.0014.0.0028
2.1,C,HSS.HSS,redundant.intermittent,0.0.0012
4.4,D,HSS.HSS,redundant.redundant,0.0006.0.0015
3.4,C,HSS.HSS,redundant.intermittent,0.0023.0.0061
2.2,C,HSS.HSS,intermittent.intermittent,0.0.0025
4.4,D,HSS.HSS,redundant.redundant,0.0.003
4.4,D,HSS.HSS,redundant.redundant,0.0006.0.0017
4.4,C,HSS.HSS,redundant.redundant,0.0008.0.0014
4.4,NA,HSS.HSS,redundant.intermittent,0.0021.0.0048
4.4,C,HSS.HSS,redundant.redundant,0.004.0.0054
4.4,C,HSS.HSS,redundant.redundant,0.0009.0.0026
4.4,C,HSS.HSS,redundant.redundant,0.0008.0.0246
2.4,D,HSS.HSS,redundant.redundant,0.0013.0.0022
4.4,C,HSS.HSS,intermittent.intermittent,0.0007.0.0041
4.4,C,HSS.HSS,redundant.redundant,0.004.0.0159
3.4,D,HSS.HSS,redundant.redundant,0.0044.0.0927
1.4,C,HSS.Intermediate,redundant.redundant,0.0049.0.0188
3.3,C,HSS.HSS,intermittent.redundant,0.0009.0.0159
3.3,C,HSS.HSS,redundant.redundant,0.0.0009
1.1,D,HSS.HSS,redundant.redundant,0.002.0.0054
4.1,C,HSS.HSS,redundant.redundant,0.0014.0.0092
4.2,D,HSS.HSS,redundant.redundant,0.0013.0.0022
2.1,C,HSS.HSS,redundant.redundant,0.0185.0.0433
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.0006
4.4,C,HSS.HSS,intermittent.redundant,0.0057.0.0105
4.3,C,HSS.HSS,critical.intermittent,0.0039.0.0558
4.4,C,HSS.HSS,redundant.redundant,0.0.001
3.4,C,HSS.HSS,intermittent.redundant,0.0009.0.0015
4.4,C,HSS.HSS,intermittent.redundant,0.0014.0.0029
2.4,D,HSS.HSS,redundant.redundant,0.0004.0.0096
3.2,C,HSS.HSS,redundant.redundant,0.001.0.0031
2.2,C,HSS.HSS,redundant.redundant,0.002.0.0026
4.1,C,HSS.HSS,intermittent.intermittent,0.0.0027
3.4,C,HSS.HSS,redundant.redundant,0.002.0.0056
3.4,D,HSS.HSS,intermittent.redundant,0.0.0161
4.4,C,HSS.HSS,critical.redundant,0.0012.0.0116
4.4,NA,Strict.HSS,intermittent.redundant,0.0.0013
4.1,C,HSS.Strict,intermittent.redundant,0.0181.0.0916
4.4,C,HSS.HSS,redundant.redundant,0.0064.0.0085
4.4,D,HSS.HSS,critical.intermittent,0.0005.0.0006
4.4,C,HSS.HSS,redundant.intermittent,0.0.0272
1.4,D,HSS.HSS,redundant.redundant,0.0.001
4.1,C,HSS.HSS,redundant.redundant,0.0021.0.0025
4.4,D,HSS.HSS,redundant.redundant,0.0.0025
3.4,C,HSS.HSS,intermittent.redundant,0.0.0019
1.3,D,HSS.HSS,intermittent.redundant,0.0.0014
4.4,C,HSS.Intermediate,redundant.redundant,0.0023.0.0145
4.4,C,HSS.HSS,redundant.redundant,0.0175.0.1051
2.3,C,HSS.HSS,redundant.redundant,0.0018.0.0204
4.4,C,HSS.HSS,redundant.redundant,0.0012.0.0061
4.1,C,HSS.HSS,redundant.intermittent,0.0.0592
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.0047
4.4,D,HSS.HSS,intermittent.intermittent,0.0025.0.0041
4.4,C,HSS.HSS,redundant.redundant,0.0.0022
1.4,C,HSS.HSS,redundant.intermittent,0.0014.0.0072
4.3,D,HSS.HSS,critical.redundant,0.0.0003
4.4,NA,HSS.HSS,redundant.intermittent,0.0002.0.0102
2.2,C,HSS.HSS,redundant.redundant,0.0018.0.0522
4.4,C,HSS.HSS,redundant.redundant,0.0.0051
1.1,C,HSS.HSS,intermittent.redundant,0.0.0006
4.1,D,HSS.HSS,redundant.redundant,0.0.0004
4.4,C,HSS.HSS,intermittent.redundant,0.0822.0.0992
4.2,D,HSS.HSS,redundant.redundant,0.0016.0.0019
4.4,D,HSS.HSS,redundant.redundant,0.0012.0.0216
4.4,C,HSS.HSS,redundant.redundant,0.0023.0.0068
4.1,C,HSS.HSS,redundant.redundant,0.0.0271
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.0134
4.4,D,HSS.HSS,redundant.redundant,0.0094.0.011
4.3,C,Intermediate.HSS,redundant.redundant,0.0008.0.0048
4.4,D,HSS.HSS,intermittent.intermittent,0.0.0596
4.4,C,HSS.Intermediate,redundant.intermittent,0.0.0114
4.3,C,HSS.HSS,redundant.redundant,0.0.0011
4.4,D,HSS.HSS,redundant.intermittent,0.0062.0.007
4.4,D,HSS.HSS,redundant.redundant,0.0041.0.1398
1.2,D,HSS.HSS,redundant.redundant,0.0.004
3.4,C,HSS.HSS,critical.redundant,0.0.0233
4.4,C,HSS.HSS,intermittent.redundant,0.0009.0.0085
4.4,C,HSS.HSS,intermittent.intermittent,0.0.0013
1.4,D,HSS.HSS,redundant.redundant,0.0023.0.003
4.4,D,HSS.HSS,intermittent.redundant,0.0043.0.0069
3.4,C,HSS.HSS,redundant.redundant,0.0.0015
4.1,C,HSS.HSS,redundant.redundant,0.0015.0.0092
4.3,C,Intermediate.HSS,redundant.intermittent,0.0.0102
4.2,D,HSS.HSS,redundant.redundant,0.0132.0.0264
3.4,D,HSS.HSS,intermittent.intermittent,0.0.0048
4.4,D,HSS.HSS,redundant.redundant,0.0039.0.0206
2.4,D,HSS.HSS,intermittent.redundant,0.0025.0.0043
4.2,C,HSS.HSS,redundant.redundant,0.0012.0.004
4.4,D,HSS.HSS,redundant.redundant,0.0.0715
4.4,C,HSS.HSS,redundant.redundant,0.0027.0.0086
4.4,C,HSS.Intermediate,intermittent.redundant,0.0034.0.0057
4.2,D,HSS.HSS,intermittent.intermittent,0.0031.0.0032
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.002
1.4,C,HSS.HSS,redundant.redundant,0.0007.0.002
4.4,D,HSS.HSS,redundant.redundant,0.0018.0.03
4.4,D,Strict.HSS,redundant.redundant,0.001.0.0038
4.4,C,HSS.HSS,redundant.redundant,0.0087.0.1982
4.3,D,HSS.HSS,redundant.intermittent,0.0062.0.07
4.4,C,HSS.HSS,redundant.redundant,0.0018.0.0027
4.1,NA,HSS.HSS,redundant.redundant,0.0456.0.128
4.2,D,HSS.HSS,redundant.redundant,0.0.0161
4.4,C,HSS.HSS,redundant.redundant,0.0.0008
1.4,C,HSS.HSS,critical.redundant,0.0.0041
2.3,C,HSS.Strict,redundant.redundant,0.0018.0.0404
3.1,D,HSS.Intermediate,redundant.redundant,0.0015.0.0026
3.4,NA,HSS.HSS,redundant.redundant,0.0.0038
3.4,C,HSS.HSS,intermittent.redundant,0.003.0.0065
1.4,D,HSS.HSS,redundant.redundant,0.0007.0.0061
4.1,C,HSS.HSS,critical.intermittent,0.0011.0.0102
4.4,C,HSS.HSS,redundant.redundant,0.0.008
3.3,C,HSS.HSS,redundant.redundant,0.0.0034
4.4,C,HSS.HSS,redundant.redundant,0.0031.0.0049
4.1,C,HSS.HSS,redundant.redundant,0.0.0021
1.2,C,HSS.HSS,redundant.intermittent,0.0007.0.0009
2.1,D,HSS.HSS,redundant.redundant,0.0017.0.0136
3.3,D,HSS.HSS,intermittent.critical,0.0008.0.0024
4.1,C,HSS.HSS,redundant.redundant,0.0009.0.0016
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.0039
4.4,C,HSS.HSS,intermittent.redundant,0.0006.0.001
4.4,D,HSS.HSS,redundant.redundant,0.0038.0.0043
4.1,C,HSS.HSS,redundant.redundant,0.0006.0.0036
4.1,C,HSS.HSS,redundant.redundant,0.0011.0.0012
4.4,C,HSS.HSS,intermittent.redundant,0.0006.0.0026
4.2,C,HSS.HSS,redundant.redundant,0.0005.0.0017
4.4,D,HSS.HSS,redundant.intermittent,0.0049.0.0099
4.4,C,HSS.HSS,redundant.redundant,0.0008.0.0025
4.4,C,HSS.HSS,redundant.redundant,0.0.0309
1.4,D,HSS.HSS,redundant.redundant,0.002.0.0023
4.4,C,HSS.HSS,redundant.redundant,0.0024.0.003
4.3,D,Intermediate.HSS,redundant.intermittent,0.0028.0.0175
2.2,C,HSS.HSS,intermittent.redundant,0.0007.0.0012
3.4,C,HSS.HSS,redundant.redundant,0.0009.0.001
1.4,D,HSS.HSS,intermittent.redundant,0.0019.0.0472
4.2,C,Strict.HSS,redundant.redundant,0.0.0522
4.4,C,HSS.HSS,redundant.redundant,0.0022.0.0068
3.4,C,HSS.HSS,redundant.redundant,0.0014.0.0155
4.4,C,HSS.HSS,redundant.redundant,0.0.0039
4.4,D,HSS.HSS,redundant.redundant,0.0562.0.0656
4.4,D,HSS.HSS,redundant.redundant,0.0.0008
2.4,D,HSS.Intermediate,intermittent.redundant,0.0007.0.0008
4.4,C,HSS.HSS,redundant.intermittent,0.0021.0.0109
4.3,C,HSS.HSS,redundant.intermittent,0.0006.0.0081
4.2,C,HSS.HSS,critical.redundant,0.001.0.0037
4.3,C,HSS.HSS,redundant.intermittent,0.0.0016
3.2,C,HSS.HSS,critical.redundant,0.0019.0.0036
4.4,C,HSS.HSS,redundant.redundant,0.0014.0.0184
1.2,D,HSS.HSS,intermittent.redundant,0.0016.0.0196
2.4,D,HSS.HSS,intermittent.redundant,0.0.0018
4.4,C,HSS.HSS,critical.redundant,0.001.0.0179
4.4,C,HSS.HSS,redundant.redundant,0.0.0013
4.4,C,HSS.HSS,redundant.intermittent,0.0015.0.0033
4.1,C,HSS.HSS,redundant.redundant,0.0022.0.0029
2.4,C,HSS.HSS,redundant.redundant,0.001.0.0052
4.4,C,HSS.HSS,redundant.redundant,0.0005.0.0017
4.4,C,HSS.HSS,redundant.redundant,0.0009.0.0013
1.4,D,HSS.HSS,redundant.intermittent,0.0035.0.0223
2.4,C,HSS.HSS,redundant.redundant,0.0019.0.0072
4.2,C,HSS.HSS,redundant.redundant,0.0.0031
2.4,D,HSS.HSS,redundant.redundant,0.0013.0.0169
1.4,D,HSS.HSS,redundant.intermittent,0.0.0068
3.2,C,HSS.HSS,redundant.redundant,0.0.001
4.2,C,HSS.HSS,redundant.redundant,0.0.0161
4.4,C,HSS.HSS,intermittent.redundant,0.001.0.0024
4.4,C,HSS.HSS,redundant.redundant,0.0012.0.0091
4.2,D,HSS.HSS,redundant.redundant,0.0033.0.0068
4.4,D,HSS.HSS,redundant.intermittent,0.0025.0.0033
4.4,D,HSS.HSS,redundant.redundant,0.0.0011
1.4,D,HSS.Intermediate,redundant.redundant,0.0071.0.0374
1.4,C,HSS.HSS,redundant.redundant,0.0.0048
4.4,C,HSS.HSS,redundant.redundant,0.0.0098
1.4,D,HSS.HSS,intermittent.redundant,0.0026.0.0091
4.4,C,HSS.HSS,intermittent.redundant,0.0.0024
3.4,D,HSS.HSS,redundant.redundant,0.007.0.0449
2.4,C,HSS.HSS,intermittent.redundant,0.0007.0.0054
1.4,D,HSS.HSS,redundant.redundant,0.0014.0.0021
4.4,C,HSS.HSS,redundant.redundant,0.0027.0.0191
4.4,C,HSS.HSS,redundant.intermittent,0.0025.0.0289
4.1,D,HSS.Intermediate,critical.intermittent,0.0.0051
4.4,C,HSS.HSS,redundant.redundant,0.0.0034
2.4,C,HSS.HSS,redundant.redundant,0.0013.0.0103
4.3,D,HSS.HSS,redundant.redundant,0.0.0026
4.1,C,HSS.HSS,redundant.redundant,0.0.0762
4.4,C,HSS.HSS,critical.redundant,0.0018.0.1982
4.2,C,HSS.HSS,intermittent.redundant,0.0007.0.0019
1.4,D,HSS.HSS,redundant.redundant,0.0071.0.011
4.2,D,HSS.HSS,redundant.redundant,0.0016.0.0022
4.4,D,Intermediate.HSS,redundant.redundant,0.0023.0.0106
4.4,D,HSS.HSS,intermittent.redundant,0.0.005
4.4,C,HSS.HSS,redundant.redundant,0.0015.0.0066
4.1,C,HSS.HSS,intermittent.redundant,0.0044.0.0274
4.1,C,HSS.HSS,redundant.redundant,0.0016.0.0026
3.3,C,HSS.HSS,redundant.redundant,0.0029.0.0055
4.4,C,HSS.HSS,redundant.redundant,0.0053.0.3292
2.1,C,HSS.HSS,redundant.intermittent,0.0.0012
4.4,C,HSS.HSS,redundant.redundant,0.0018.0.0086
2.4,D,HSS.HSS,intermittent.intermittent,0.0.0007
2.4,C,HSS.HSS,redundant.redundant,0.0019.0.0043
4.4,D,HSS.HSS,redundant.redundant,0.0022.0.0406
4.4,D,HSS.HSS,intermittent.redundant,0.0226.0.0372
4.1,D,HSS.HSS,redundant.redundant,0.0.013
2.4,D,HSS.HSS,redundant.redundant,0.0015.0.0242
3.1,D,HSS.HSS,redundant.redundant,0.0034.0.0136
3.4,NA,HSS.HSS,redundant.intermittent,0.0011.0.0014
4.1,C,HSS.HSS,redundant.intermittent,0.0043.0.0045
1.4,C,HSS.HSS,redundant.redundant,0.0045.0.0089
1.3,C,HSS.HSS,intermittent.redundant,0.0008.0.0015
